window,test_start,test_end,Logistic Regression_acc,Random Forest_acc,Gradient Boosting_acc,SVM_acc,XGBoost_acc
1,2024-01-23 08:00:00.000,2024-01-30 00:00:00.000,1.0,1.0,0.9047619047619048,1.0,1.0
2,2024-01-30 08:00:00.000,2024-02-06 00:00:00.000,1.0,1.0,0.8571428571428571,1.0,1.0
3,2024-02-06 08:00:00.001,2024-02-13 00:00:00.000,1.0,1.0,1.0,1.0,1.0
4,2024-02-13 08:00:00.000,2024-02-20 00:00:00.000,1.0,1.0,1.0,1.0,1.0
5,2024-02-20 08:00:00.000,2024-02-27 00:00:00.000,1.0,1.0,1.0,1.0,1.0
6,2024-02-27 08:00:00.000,2024-03-05 00:00:00.000,1.0,1.0,1.0,1.0,1.0
7,2024-03-05 08:00:00.000,2024-03-12 00:00:00.000,1.0,1.0,1.0,1.0,1.0
8,2024-03-12 08:00:00.000,2024-03-19 00:00:00.000,1.0,1.0,1.0,1.0,1.0
9,2024-03-19 08:00:00.000,2024-03-26 00:00:00.000,1.0,1.0,1.0,1.0,1.0
10,2024-03-26 08:00:00.000,2024-04-02 00:00:00.007,1.0,1.0,1.0,1.0,1.0
11,2024-04-02 08:00:00.015,2024-04-09 00:00:00.000,1.0,1.0,1.0,1.0,1.0
12,2024-04-09 08:00:00.001,2024-04-16 00:00:00.001,0.9523809523809523,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048
13,2024-04-16 08:00:00.000,2024-04-23 00:00:00.000,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.47619047619047616
14,2024-04-23 08:00:00.000,2024-04-30 00:00:00.000,0.9523809523809523,0.8571428571428571,0.14285714285714285,0.9523809523809523,0.8571428571428571
15,2024-04-30 08:00:00.000,2024-05-07 00:00:00.000,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095
16,2024-05-07 08:00:00.000,2024-05-14 00:00:00.000,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.7619047619047619
17,2024-05-14 08:00:00.000,2024-05-21 00:00:00.000,1.0,1.0,1.0,1.0,0.9523809523809523
18,2024-05-21 08:00:00.001,2024-05-28 00:00:00.000,1.0,1.0,1.0,1.0,1.0
19,2024-05-28 08:00:00.000,2024-06-04 00:00:00.000,1.0,1.0,1.0,1.0,1.0
20,2024-06-04 08:00:00.000,2024-06-11 00:00:00.001,1.0,1.0,1.0,1.0,1.0
21,2024-06-11 08:00:00.000,2024-06-18 00:00:00.000,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
22,2024-06-18 08:00:00.000,2024-06-25 00:00:00.000,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
23,2024-06-25 08:00:00.000,2024-07-02 00:00:00.000,1.0,1.0,1.0,1.0,1.0
24,2024-07-02 08:00:00.000,2024-07-09 00:00:00.000,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095
25,2024-07-09 08:00:00.001,2024-07-16 00:00:00.000,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.7619047619047619
26,2024-07-16 08:00:00.000,2024-07-23 00:00:00.000,1.0,1.0,0.9523809523809523,1.0,0.9523809523809523
