symbol,fundingRate,markPrice,fundingDateTime,formattedFundingDateTime
ACEUSDT,-0.00025197,15.5036,2023-12-18 12:00:00.000,2023-12-18 12:00:00
ACEUSDT,-0.00072532,14.39989932,2023-12-18 16:00:00.000,2023-12-18 16:00:00
ACEUSDT,-0.00097145,12.79802526,2023-12-18 20:00:00.001,2023-12-18 20:00:00
ACEUSDT,0.00046384,13.88790796,2023-12-19 00:00:00.000,2023-12-19 00:00:00
ACEUSDT,-0.00111692,14.42266872,2023-12-19 04:00:00.000,2023-12-19 04:00:00
ACEUSDT,0.00055529,13.51393949,2023-12-19 08:00:00.000,2023-12-19 08:00:00
ACEUSDT,0.00014893,12.95231073,2023-12-19 12:00:00.000,2023-12-19 12:00:00
ACEUSDT,0.00029032,12.99855743,2023-12-19 16:00:00.000,2023-12-19 16:00:00
ACEUSDT,0.00040289,13.1888,2023-12-19 20:00:00.001,2023-12-19 20:00:00
ACEUSDT,0.00037394,13.29839392,2023-12-20 00:00:00.000,2023-12-20 00:00:00
ACEUSDT,0.00032404,12.7811,2023-12-20 04:00:00.000,2023-12-20 04:00:00
ACEUSDT,0.00041637,12.70983569,2023-12-20 08:00:00.000,2023-12-20 08:00:00
ACEUSDT,0.00066239,12.55163739,2023-12-20 12:00:00.000,2023-12-20 12:00:00
ACEUSDT,0.00028711,12.71810873,2023-12-20 16:00:00.000,2023-12-20 16:00:00
ACEUSDT,0.00047491,13.43346471,2023-12-20 20:00:00.000,2023-12-20 20:00:00
ACEUSDT,0.0006709,13.37754336,2023-12-21 00:00:00.000,2023-12-21 00:00:00
ACEUSDT,0.00052043,13.18383376,2023-12-21 04:00:00.007,2023-12-21 04:00:00
ACEUSDT,0.00090627,16.2512,2023-12-21 08:00:00.000,2023-12-21 08:00:00
ACEUSDT,0.00068143,16.0556,2023-12-21 12:00:00.000,2023-12-21 12:00:00
ACEUSDT,0.00048252,15.6902,2023-12-21 16:00:00.000,2023-12-21 16:00:00
ACEUSDT,0.000512,15.21461227,2023-12-21 20:00:00.000,2023-12-21 20:00:00
ACEUSDT,0.00037328,15.39464229,2023-12-22 00:00:00.000,2023-12-22 00:00:00
ACEUSDT,0.00012029,15.3853,2023-12-22 04:00:00.001,2023-12-22 04:00:00
ACEUSDT,0.00013188,13.55142713,2023-12-22 08:00:00.000,2023-12-22 08:00:00
ACEUSDT,0.00017625,13.38057681,2023-12-22 12:00:00.000,2023-12-22 12:00:00
ACEUSDT,0.0001063,13.31344651,2023-12-22 16:00:00.000,2023-12-22 16:00:00
ACEUSDT,0.00018436,13.2023043,2023-12-22 20:00:00.000,2023-12-22 20:00:00
ACEUSDT,0.00018072,13.27880215,2023-12-23 00:00:00.000,2023-12-23 00:00:00
ACEUSDT,8.197e-05,12.7951329,2023-12-23 04:00:00.000,2023-12-23 04:00:00
ACEUSDT,5e-05,13.1499373,2023-12-23 08:00:00.001,2023-12-23 08:00:00
ACEUSDT,8.64e-05,13.84953876,2023-12-23 12:00:00.000,2023-12-23 12:00:00
ACEUSDT,0.00027862,13.40150066,2023-12-23 16:00:00.000,2023-12-23 16:00:00
ACEUSDT,0.00041361,13.20155494,2023-12-23 20:00:00.000,2023-12-23 20:00:00
ACEUSDT,0.00048262,13.3263,2023-12-24 00:00:00.000,2023-12-24 00:00:00
ACEUSDT,0.0005247,13.3738,2023-12-24 04:00:00.000,2023-12-24 04:00:00
ACEUSDT,0.00049948,13.0882,2023-12-24 08:00:00.000,2023-12-24 08:00:00
ACEUSDT,0.00044244,13.11979715,2023-12-24 12:00:00.000,2023-12-24 12:00:00
ACEUSDT,0.0003519,13.0907,2023-12-24 16:00:00.000,2023-12-24 16:00:00
ACEUSDT,0.00042034,13.11039215,2023-12-24 20:00:00.000,2023-12-24 20:00:00
ACEUSDT,0.00024251,12.6888,2023-12-25 00:00:00.000,2023-12-25 00:00:00
ACEUSDT,0.0003593,12.6867,2023-12-25 04:00:00.000,2023-12-25 04:00:00
ACEUSDT,0.00015208,13.21880047,2023-12-25 08:00:00.000,2023-12-25 08:00:00
ACEUSDT,0.0004062,13.2039,2023-12-25 12:00:00.000,2023-12-25 12:00:00
ACEUSDT,0.00041794,13.6678,2023-12-25 16:00:00.000,2023-12-25 16:00:00
