symbol,fundingRate,markPrice,fundingDateTime,formattedFundingDateTime
ADAUSDT,0.0001,,2020-01-19 16:00:00.000,2020-01-19 16:00:00
ADAUSDT,0.0001,,2020-01-20 00:00:00.000,2020-01-20 00:00:00
ADAUSDT,0.0001,,2020-01-20 08:00:00.000,2020-01-20 08:00:00
ADAUSDT,0.0001,,2020-01-20 16:00:00.000,2020-01-20 16:00:00
ADAUSDT,0.0001,,2020-01-21 00:00:00.000,2020-01-21 00:00:00
ADAUSDT,0.0001,,2020-01-21 08:00:00.000,2020-01-21 08:00:00
ADAUSDT,0.0001,,2020-01-21 16:00:00.000,2020-01-21 16:00:00
ADAUSDT,0.0001,,2020-01-22 00:00:00.000,2020-01-22 00:00:00
ADAUSDT,0.0001,,2020-01-22 08:00:00.001,2020-01-22 08:00:00
ADAUSDT,0.0001,,2020-01-22 16:00:00.000,2020-01-22 16:00:00
ADAUSDT,0.0001,,2020-01-23 00:00:00.000,2020-01-23 00:00:00
ADAUSDT,0.0001,,2020-01-23 08:00:00.000,2020-01-23 08:00:00
ADAUSDT,0.0001,,2020-01-23 16:00:00.000,2020-01-23 16:00:00
ADAUSDT,0.0001,,2020-01-24 00:00:00.000,2020-01-24 00:00:00
ADAUSDT,0.0001,,2020-01-24 08:00:00.000,2020-01-24 08:00:00
ADAUSDT,0.0001,,2020-01-24 16:00:00.001,2020-01-24 16:00:00
ADAUSDT,0.0001,,2020-01-25 00:00:00.000,2020-01-25 00:00:00
ADAUSDT,0.0001,,2020-01-25 08:00:00.000,2020-01-25 08:00:00
ADAUSDT,0.0001,,2020-01-25 16:00:00.001,2020-01-25 16:00:00
ADAUSDT,0.0001,,2020-01-26 00:00:00.000,2020-01-26 00:00:00
ADAUSDT,0.0001,,2020-01-26 08:00:00.000,2020-01-26 08:00:00
ADAUSDT,0.0001,,2020-01-26 16:00:00.000,2020-01-26 16:00:00
ADAUSDT,0.0001,,2020-01-27 00:00:00.000,2020-01-27 00:00:00
ADAUSDT,0.0001,,2020-01-27 08:00:00.001,2020-01-27 08:00:00
ADAUSDT,0.0001,,2020-01-27 16:00:00.000,2020-01-27 16:00:00
ADAUSDT,0.0001,,2020-01-28 00:00:00.000,2020-01-28 00:00:00
ADAUSDT,0.0001,,2020-01-28 08:00:00.000,2020-01-28 08:00:00
ADAUSDT,0.0001,,2020-01-28 16:00:00.000,2020-01-28 16:00:00
ADAUSDT,0.0001,,2020-01-29 00:00:00.001,2020-01-29 00:00:00
ADAUSDT,0.0001,,2020-01-29 08:00:00.000,2020-01-29 08:00:00
ADAUSDT,0.0001,,2020-01-29 16:00:00.002,2020-01-29 16:00:00
ADAUSDT,0.0001,,2020-01-30 00:00:00.000,2020-01-30 00:00:00
ADAUSDT,0.0001,,2020-01-30 08:00:00.000,2020-01-30 08:00:00
ADAUSDT,0.0001,,2020-01-30 16:00:00.000,2020-01-30 16:00:00
ADAUSDT,0.0001,,2020-01-31 00:00:00.000,2020-01-31 00:00:00
ADAUSDT,0.0001,,2020-01-31 08:00:00.000,2020-01-31 08:00:00
ADAUSDT,0.0001,,2020-01-31 16:00:00.000,2020-01-31 16:00:00
ADAUSDT,0.0001,,2020-02-01 00:00:00.000,2020-02-01 00:00:00
ADAUSDT,0.0001,,2020-02-01 08:00:00.000,2020-02-01 08:00:00
ADAUSDT,0.0001,,2020-02-01 16:00:00.000,2020-02-01 16:00:00
ADAUSDT,0.0001,,2020-02-02 00:00:00.000,2020-02-02 00:00:00
