symbol,fundingRate,markPrice,fundingDateTime,formattedFundingDateTime
BNBUSDT,0.0,,2020-02-10 08:00:00.000,2020-02-10 08:00:00
BNBUSDT,0.00304635,,2020-02-10 16:00:00.009,2020-02-10 16:00:00
BNBUSDT,0.00161571,,2020-02-11 00:00:00.000,2020-02-11 00:00:00
BNBUSDT,0.00261274,,2020-02-11 08:00:00.000,2020-02-11 08:00:00
BNBUSDT,0.00155591,,2020-02-11 16:00:00.000,2020-02-11 16:00:00
BNBUSDT,0.00326618,,2020-02-12 00:00:00.000,2020-02-12 00:00:00
BNBUSDT,0.00222329,,2020-02-12 08:00:00.001,2020-02-12 08:00:00
BNBUSDT,0.00123233,,2020-02-12 16:00:00.000,2020-02-12 16:00:00
BNBUSDT,0.00066404,,2020-02-13 00:00:00.001,2020-02-13 00:00:00
BNBUSDT,0.00339783,,2020-02-13 08:00:00.000,2020-02-13 08:00:00
BNBUSDT,0.00051288,,2020-02-13 16:00:00.000,2020-02-13 16:00:00
BNBUSDT,0.0,,2020-02-14 00:00:00.000,2020-02-14 00:00:00
BNBUSDT,0.0008311,,2020-02-14 08:00:00.000,2020-02-14 08:00:00
BNBUSDT,0.00045706,,2020-02-14 16:00:00.000,2020-02-14 16:00:00
BNBUSDT,0.00205219,,2020-02-15 00:00:00.000,2020-02-15 00:00:00
BNBUSDT,0.00121877,,2020-02-15 08:00:00.000,2020-02-15 08:00:00
BNBUSDT,0.00231415,,2020-02-15 16:00:00.000,2020-02-15 16:00:00
BNBUSDT,0.0,,2020-02-16 00:00:00.000,2020-02-16 00:00:00
BNBUSDT,0.0,,2020-02-16 08:00:00.000,2020-02-16 08:00:00
BNBUSDT,0.0,,2020-02-16 16:00:00.000,2020-02-16 16:00:00
BNBUSDT,0.0,,2020-02-17 00:00:00.000,2020-02-17 00:00:00
BNBUSDT,0.0003025,,2020-02-17 08:00:00.000,2020-02-17 08:00:00
BNBUSDT,0.00110646,,2020-02-17 16:00:00.000,2020-02-17 16:00:00
BNBUSDT,7.369e-05,,2020-02-18 00:00:00.000,2020-02-18 00:00:00
BNBUSDT,0.0,,2020-02-18 08:00:00.000,2020-02-18 08:00:00
BNBUSDT,0.00017557,,2020-02-18 16:00:00.000,2020-02-18 16:00:00
BNBUSDT,2.421e-05,,2020-02-19 00:00:00.000,2020-02-19 00:00:00
BNBUSDT,0.00137686,,2020-02-19 08:00:00.001,2020-02-19 08:00:00
BNBUSDT,0.0,,2020-02-19 16:00:00.000,2020-02-19 16:00:00
BNBUSDT,0.00046778,,2020-02-20 00:00:00.004,2020-02-20 00:00:00
BNBUSDT,0.00072738,,2020-02-20 08:00:00.000,2020-02-20 08:00:00
BNBUSDT,0.00020171,,2020-02-20 16:00:00.000,2020-02-20 16:00:00
BNBUSDT,0.0,,2020-02-21 00:00:00.000,2020-02-21 00:00:00
BNBUSDT,0.0002414,,2020-02-21 08:00:00.000,2020-02-21 08:00:00
BNBUSDT,0.00042486,,2020-02-21 16:00:00.000,2020-02-21 16:00:00
BNBUSDT,0.00064889,,2020-02-22 00:00:00.000,2020-02-22 00:00:00
BNBUSDT,0.00049596,,2020-02-22 08:00:00.001,2020-02-22 08:00:00
BNBUSDT,0.00052603,,2020-02-22 16:00:00.000,2020-02-22 16:00:00
BNBUSDT,0.00075795,,2020-02-23 00:00:00.000,2020-02-23 00:00:00
BNBUSDT,0.00081155,,2020-02-23 08:00:00.000,2020-02-23 08:00:00
BNBUSDT,0.00020372,,2020-02-23 16:00:00.000,2020-02-23 16:00:00
BNBUSDT,0.00043004,,2020-02-24 00:00:00.015,2020-02-24 00:00:00
BNBUSDT,0.00015968,,2020-02-24 08:00:00.000,2020-02-24 08:00:00
BNBUSDT,0.00043662,,2020-02-24 16:00:00.000,2020-02-24 16:00:00
BNBUSDT,0.00012455,,2020-02-25 00:00:00.001,2020-02-25 00:00:00
BNBUSDT,0.00030493,,2020-02-25 08:00:00.000,2020-02-25 08:00:00
BNBUSDT,0.00031773,,2020-02-25 16:00:00.001,2020-02-25 16:00:00
BNBUSDT,0.00015623,,2020-02-26 00:00:00.000,2020-02-26 00:00:00
