symbol,fundingRate,markPrice,fundingDateTime,formattedFundingDateTime
LSKUSDT,-0.00201623,1.189,2024-01-25 16:00:00.000,2024-01-25 16:00:00
LSKUSDT,5e-05,1.214,2024-01-25 20:00:00.000,2024-01-25 20:00:00
LSKUSDT,5e-05,1.28061517,2024-01-26 00:00:00.001,2024-01-26 00:00:00
LSKUSDT,-3.95e-06,1.258,2024-01-26 04:00:00.001,2024-01-26 04:00:00
LSKUSDT,-0.00012076,1.2301467,2024-01-26 08:00:00.000,2024-01-26 08:00:00
LSKUSDT,-8.433e-05,1.2358216,2024-01-26 12:00:00.000,2024-01-26 12:00:00
LSKUSDT,-0.00137855,1.233,2024-01-26 16:00:00.000,2024-01-26 16:00:00
LSKUSDT,-0.00143597,1.209,2024-01-26 20:00:00.000,2024-01-26 20:00:00
LSKUSDT,-0.0003035,1.246,2024-01-27 00:00:00.000,2024-01-27 00:00:00
LSKUSDT,5e-05,1.20966118,2024-01-27 04:00:00.000,2024-01-27 04:00:00
LSKUSDT,5e-05,1.193,2024-01-27 08:00:00.000,2024-01-27 08:00:00
LSKUSDT,5e-05,1.19604671,2024-01-27 12:00:00.000,2024-01-27 12:00:00
LSKUSDT,5e-05,1.19699208,2024-01-27 16:00:00.000,2024-01-27 16:00:00
LSKUSDT,5e-05,1.2071475,2024-01-27 20:00:00.000,2024-01-27 20:00:00
LSKUSDT,5e-05,1.21540025,2024-01-28 00:00:00.000,2024-01-28 00:00:00
LSKUSDT,5e-05,1.21222002,2024-01-28 04:00:00.000,2024-01-28 04:00:00
LSKUSDT,5e-05,1.19631007,2024-01-28 08:00:00.000,2024-01-28 08:00:00
LSKUSDT,5e-05,1.233,2024-01-28 12:00:00.000,2024-01-28 12:00:00
LSKUSDT,5e-05,1.34327415,2024-01-28 16:00:00.000,2024-01-28 16:00:00
LSKUSDT,5e-05,1.36077089,2024-01-28 20:00:00.000,2024-01-28 20:00:00
LSKUSDT,5e-05,1.41257218,2024-01-29 00:00:00.000,2024-01-29 00:00:00
LSKUSDT,5e-05,1.42906965,2024-01-29 04:00:00.001,2024-01-29 04:00:00
LSKUSDT,5e-05,1.363,2024-01-29 08:00:00.001,2024-01-29 08:00:00
LSKUSDT,5e-05,1.43622115,2024-01-29 12:00:00.000,2024-01-29 12:00:00
LSKUSDT,5e-05,1.47124646,2024-01-29 16:00:00.000,2024-01-29 16:00:00
LSKUSDT,5e-05,1.46496331,2024-01-29 20:00:00.000,2024-01-29 20:00:00
LSKUSDT,5e-05,1.46299371,2024-01-30 00:00:00.000,2024-01-30 00:00:00
LSKUSDT,5e-05,1.42909687,2024-01-30 04:00:00.000,2024-01-30 04:00:00
LSKUSDT,5e-05,1.49735495,2024-01-30 08:00:00.000,2024-01-30 08:00:00
LSKUSDT,5e-05,1.46285576,2024-01-30 12:00:00.000,2024-01-30 12:00:00
LSKUSDT,5e-05,1.42877111,2024-01-30 16:00:00.001,2024-01-30 16:00:00
LSKUSDT,5e-05,1.43353384,2024-01-30 20:00:00.000,2024-01-30 20:00:00
LSKUSDT,5e-05,1.39810504,2024-01-31 00:00:00.000,2024-01-31 00:00:00
LSKUSDT,5e-05,1.36,2024-01-31 04:00:00.001,2024-01-31 04:00:00
LSKUSDT,5e-05,1.362,2024-01-31 08:00:00.000,2024-01-31 08:00:00
LSKUSDT,5e-05,1.34733141,2024-01-31 12:00:00.000,2024-01-31 12:00:00
LSKUSDT,5e-05,1.346,2024-01-31 16:00:00.000,2024-01-31 16:00:00
LSKUSDT,5e-05,1.348,2024-01-31 20:00:00.000,2024-01-31 20:00:00
LSKUSDT,5e-05,1.35448142,2024-02-01 00:00:00.000,2024-02-01 00:00:00
LSKUSDT,5e-05,1.30755496,2024-02-01 04:00:00.000,2024-02-01 04:00:00
LSKUSDT,5e-05,1.309,2024-02-01 08:00:00.000,2024-02-01 08:00:00
LSKUSDT,5e-05,1.30293251,2024-02-01 12:00:00.000,2024-02-01 12:00:00
LSKUSDT,5e-05,1.31918039,2024-02-01 16:00:00.002,2024-02-01 16:00:00
LSKUSDT,5e-05,1.33969532,2024-02-01 20:00:00.000,2024-02-01 20:00:00
LSKUSDT,5e-05,1.34353834,2024-02-02 00:00:00.000,2024-02-02 00:00:00
LSKUSDT,5e-05,1.33894142,2024-02-02 04:00:00.000,2024-02-02 04:00:00
LSKUSDT,5e-05,1.372,2024-02-02 08:00:00.000,2024-02-02 08:00:00
LSKUSDT,5e-05,1.36543141,2024-02-02 12:00:00.000,2024-02-02 12:00:00
LSKUSDT,-4.567e-05,1.3830589,2024-02-02 16:00:00.000,2024-02-02 16:00:00
LSKUSDT,5e-05,1.37163036,2024-02-02 20:00:00.000,2024-02-02 20:00:00
LSKUSDT,5e-05,1.3822896,2024-02-03 00:00:00.000,2024-02-03 00:00:00
LSKUSDT,-7.536e-05,1.359,2024-02-03 04:00:00.000,2024-02-03 04:00:00
LSKUSDT,5e-05,1.34890379,2024-02-03 08:00:00.000,2024-02-03 08:00:00
LSKUSDT,5e-05,1.32824431,2024-02-03 12:00:00.000,2024-02-03 12:00:00
LSKUSDT,5e-05,1.34060344,2024-02-03 16:00:00.001,2024-02-03 16:00:00
LSKUSDT,5e-05,1.334,2024-02-03 20:00:00.000,2024-02-03 20:00:00
LSKUSDT,5e-05,1.33655371,2024-02-04 00:00:00.000,2024-02-04 00:00:00
LSKUSDT,5e-05,1.34751022,2024-02-04 04:00:00.000,2024-02-04 04:00:00
LSKUSDT,2.663e-05,1.369,2024-02-04 08:00:00.004,2024-02-04 08:00:00
LSKUSDT,-0.00023787,1.38703685,2024-02-04 12:00:00.001,2024-02-04 12:00:00
LSKUSDT,-0.0001291,1.385,2024-02-04 16:00:00.000,2024-02-04 16:00:00
LSKUSDT,5e-05,1.37758589,2024-02-04 20:00:00.000,2024-02-04 20:00:00
LSKUSDT,-4.97e-06,1.36609131,2024-02-05 00:00:00.000,2024-02-05 00:00:00
LSKUSDT,-4.329e-05,1.34420018,2024-02-05 04:00:00.000,2024-02-05 04:00:00
LSKUSDT,5e-05,1.36712571,2024-02-05 08:00:00.000,2024-02-05 08:00:00
LSKUSDT,-0.00015239,1.36320581,2024-02-05 12:00:00.000,2024-02-05 12:00:00
LSKUSDT,5e-05,1.36313793,2024-02-05 16:00:00.000,2024-02-05 16:00:00
LSKUSDT,5e-05,1.4039294,2024-02-05 20:00:00.000,2024-02-05 20:00:00
LSKUSDT,5e-05,1.3963179,2024-02-06 00:00:00.000,2024-02-06 00:00:00
LSKUSDT,-0.0058099,1.5492,2024-02-06 04:00:00.000,2024-02-06 04:00:00
LSKUSDT,-0.00535723,1.49685919,2024-02-06 08:00:00.001,2024-02-06 08:00:00
LSKUSDT,-0.00481156,1.4596,2024-02-06 12:00:00.000,2024-02-06 12:00:00
LSKUSDT,-0.00129429,1.44742346,2024-02-06 16:00:00.000,2024-02-06 16:00:00
LSKUSDT,-0.00027724,1.46343954,2024-02-06 20:00:00.000,2024-02-06 20:00:00
LSKUSDT,-0.00036489,1.4787,2024-02-07 00:00:00.000,2024-02-07 00:00:00
LSKUSDT,-8.23e-05,1.4243463,2024-02-07 04:00:00.000,2024-02-07 04:00:00
LSKUSDT,-1.534e-05,1.3665,2024-02-07 08:00:00.000,2024-02-07 08:00:00
LSKUSDT,5e-05,1.36772263,2024-02-07 12:00:00.000,2024-02-07 12:00:00
LSKUSDT,5e-05,1.36243798,2024-02-07 16:00:00.000,2024-02-07 16:00:00
LSKUSDT,5e-05,1.377,2024-02-07 20:00:00.000,2024-02-07 20:00:00
LSKUSDT,5e-05,1.40777287,2024-02-08 00:00:00.000,2024-02-08 00:00:00
LSKUSDT,5e-05,1.38319789,2024-02-08 04:00:00.001,2024-02-08 04:00:00
LSKUSDT,5e-05,1.3509,2024-02-08 08:00:00.000,2024-02-08 08:00:00
LSKUSDT,5e-05,1.34941959,2024-02-08 12:00:00.000,2024-02-08 12:00:00
LSKUSDT,5e-05,1.37090829,2024-02-08 16:00:00.000,2024-02-08 16:00:00
LSKUSDT,5e-05,1.35411014,2024-02-08 20:00:00.000,2024-02-08 20:00:00
LSKUSDT,5e-05,1.36390536,2024-02-09 00:00:00.000,2024-02-09 00:00:00
LSKUSDT,5e-05,1.3681,2024-02-09 04:00:00.000,2024-02-09 04:00:00
LSKUSDT,5e-05,1.3673,2024-02-09 08:00:00.000,2024-02-09 08:00:00
LSKUSDT,5e-05,1.37192706,2024-02-09 12:00:00.000,2024-02-09 12:00:00
LSKUSDT,5e-05,1.3756,2024-02-09 16:00:00.001,2024-02-09 16:00:00
LSKUSDT,5e-05,1.3768,2024-02-09 20:00:00.000,2024-02-09 20:00:00
LSKUSDT,5e-05,1.39303289,2024-02-10 00:00:00.001,2024-02-10 00:00:00
LSKUSDT,5e-05,1.39111462,2024-02-10 04:00:00.000,2024-02-10 04:00:00
LSKUSDT,5e-05,1.3749376,2024-02-10 08:00:00.000,2024-02-10 08:00:00
LSKUSDT,5e-05,1.36787323,2024-02-10 12:00:00.001,2024-02-10 12:00:00
LSKUSDT,5e-05,1.3735,2024-02-10 16:00:00.000,2024-02-10 16:00:00
LSKUSDT,5e-05,1.3757047,2024-02-10 20:00:00.000,2024-02-10 20:00:00
LSKUSDT,5e-05,1.3731,2024-02-11 00:00:00.000,2024-02-11 00:00:00
LSKUSDT,5e-05,1.37737479,2024-02-11 04:00:00.000,2024-02-11 04:00:00
LSKUSDT,7.292e-05,1.3816908,2024-02-11 08:00:00.001,2024-02-11 08:00:00
LSKUSDT,5e-05,1.3811,2024-02-11 12:00:00.001,2024-02-11 12:00:00
LSKUSDT,0.00018019,1.37346587,2024-02-11 16:00:00.000,2024-02-11 16:00:00
LSKUSDT,5e-05,1.3673,2024-02-11 20:00:00.001,2024-02-11 20:00:00
LSKUSDT,0.00010608,1.3681,2024-02-12 00:00:00.000,2024-02-12 00:00:00
LSKUSDT,5e-05,1.33481821,2024-02-12 04:00:00.001,2024-02-12 04:00:00
LSKUSDT,6.073e-05,1.3346,2024-02-12 08:00:00.000,2024-02-12 08:00:00
LSKUSDT,0.0001226,1.3215,2024-02-12 12:00:00.000,2024-02-12 12:00:00
LSKUSDT,5e-05,1.3481,2024-02-12 16:00:00.000,2024-02-12 16:00:00
LSKUSDT,5e-05,1.35637482,2024-02-12 20:00:00.000,2024-02-12 20:00:00
LSKUSDT,0.0002617,1.36946609,2024-02-13 00:00:00.000,2024-02-13 00:00:00
LSKUSDT,0.00022454,1.34934847,2024-02-13 04:00:00.000,2024-02-13 04:00:00
LSKUSDT,0.00035827,1.35919952,2024-02-13 08:00:00.000,2024-02-13 08:00:00
LSKUSDT,0.00014384,1.3553,2024-02-13 12:00:00.000,2024-02-13 12:00:00
LSKUSDT,5.782e-05,1.33420987,2024-02-13 16:00:00.000,2024-02-13 16:00:00
LSKUSDT,5e-05,1.32633799,2024-02-13 20:00:00.000,2024-02-13 20:00:00
LSKUSDT,0.00029784,1.33697252,2024-02-14 00:00:00.000,2024-02-14 00:00:00
LSKUSDT,0.00020279,1.32075901,2024-02-14 04:00:00.000,2024-02-14 04:00:00
LSKUSDT,0.00021028,1.3318,2024-02-14 08:00:00.000,2024-02-14 08:00:00
LSKUSDT,0.0004628,1.35195647,2024-02-14 12:00:00.000,2024-02-14 12:00:00
LSKUSDT,0.00026288,1.3482,2024-02-14 16:00:00.000,2024-02-14 16:00:00
LSKUSDT,0.00037308,1.34672746,2024-02-14 20:00:00.000,2024-02-14 20:00:00
LSKUSDT,0.00028926,1.35791736,2024-02-15 00:00:00.000,2024-02-15 00:00:00
