symbol,fundingRate,markPrice,fundingDateTime,formattedFundingDateTime
OMUSDT,0.0001,0.29999109,2024-02-13 08:00:00.000,2024-02-13 08:00:00
OMUSDT,-0.00035904,0.2931115,2024-02-13 16:00:00.000,2024-02-13 16:00:00
OMUSDT,5e-05,0.28256957,2024-02-13 20:00:00.000,2024-02-13 20:00:00
OMUSDT,5e-05,0.28495933,2024-02-14 00:00:00.000,2024-02-14 00:00:00
OMUSDT,5e-05,0.28258664,2024-02-14 04:00:00.000,2024-02-14 04:00:00
OMUSDT,5e-05,0.28054,2024-02-14 08:00:00.000,2024-02-14 08:00:00
OMUSDT,0.00019879,0.28141879,2024-02-14 12:00:00.000,2024-02-14 12:00:00
OMUSDT,0.00027291,0.28099,2024-02-14 16:00:00.000,2024-02-14 16:00:00
OMUSDT,0.00029325,0.2838643,2024-02-14 20:00:00.000,2024-02-14 20:00:00
OMUSDT,0.00037266,0.28152,2024-02-15 00:00:00.000,2024-02-15 00:00:00
OMUSDT,0.00056082,0.28427072,2024-02-15 04:00:00.000,2024-02-15 04:00:00
OMUSDT,0.00038789,0.2748796,2024-02-15 08:00:00.000,2024-02-15 08:00:00
OMUSDT,0.00049833,0.27827,2024-02-15 12:00:00.000,2024-02-15 12:00:00
OMUSDT,0.00024446,0.27644,2024-02-15 16:00:00.000,2024-02-15 16:00:00
OMUSDT,0.00064465,0.26364737,2024-02-15 20:00:00.000,2024-02-15 20:00:00
OMUSDT,0.00043248,0.26325,2024-02-16 00:00:00.000,2024-02-16 00:00:00
OMUSDT,0.0004395,0.27294611,2024-02-16 04:00:00.000,2024-02-16 04:00:00
OMUSDT,0.00023021,0.26435,2024-02-16 08:00:00.000,2024-02-16 08:00:00
OMUSDT,0.00039991,0.26454,2024-02-16 12:00:00.000,2024-02-16 12:00:00
OMUSDT,0.0001968,0.2533881,2024-02-16 16:00:00.000,2024-02-16 16:00:00
OMUSDT,0.00053529,0.24428752,2024-02-16 20:00:00.000,2024-02-16 20:00:00
OMUSDT,0.00039638,0.24264679,2024-02-17 00:00:00.000,2024-02-17 00:00:00
OMUSDT,0.00066447,0.23757455,2024-02-17 04:00:00.000,2024-02-17 04:00:00
OMUSDT,0.00025681,0.236,2024-02-17 08:00:00.000,2024-02-17 08:00:00
OMUSDT,5e-05,0.23661927,2024-02-17 12:00:00.000,2024-02-17 12:00:00
OMUSDT,0.00023199,0.23577593,2024-02-17 16:00:00.000,2024-02-17 16:00:00
OMUSDT,5e-05,0.24391,2024-02-17 20:00:00.000,2024-02-17 20:00:00
OMUSDT,5.454e-05,0.24816,2024-02-18 00:00:00.000,2024-02-18 00:00:00
OMUSDT,5e-05,0.24610924,2024-02-18 04:00:00.000,2024-02-18 04:00:00
OMUSDT,0.00022096,0.24048187,2024-02-18 08:00:00.000,2024-02-18 08:00:00
OMUSDT,0.00027734,0.23920709,2024-02-18 12:00:00.000,2024-02-18 12:00:00
OMUSDT,0.00028045,0.23833,2024-02-18 16:00:00.000,2024-02-18 16:00:00
OMUSDT,0.00015499,0.240316,2024-02-18 20:00:00.000,2024-02-18 20:00:00
OMUSDT,0.00012038,0.23950128,2024-02-19 00:00:00.000,2024-02-19 00:00:00
OMUSDT,0.00019623,0.23794017,2024-02-19 04:00:00.000,2024-02-19 04:00:00
OMUSDT,0.00032737,0.24494,2024-02-19 08:00:00.000,2024-02-19 08:00:00
OMUSDT,0.00024223,0.23716932,2024-02-19 12:00:00.000,2024-02-19 12:00:00
OMUSDT,0.0003782,0.23325,2024-02-19 16:00:00.000,2024-02-19 16:00:00
OMUSDT,0.00064259,0.23297,2024-02-19 20:00:00.000,2024-02-19 20:00:00
OMUSDT,0.00041016,0.2323,2024-02-20 00:00:00.000,2024-02-20 00:00:00
OMUSDT,5e-05,0.22703351,2024-02-20 04:00:00.000,2024-02-20 04:00:00
OMUSDT,0.00028399,0.23204,2024-02-20 08:00:00.000,2024-02-20 08:00:00
OMUSDT,5e-05,0.23969734,2024-02-20 12:00:00.000,2024-02-20 12:00:00
OMUSDT,5e-05,0.21561,2024-02-20 16:00:00.000,2024-02-20 16:00:00
OMUSDT,0.00020325,0.22472,2024-02-20 20:00:00.000,2024-02-20 20:00:00
OMUSDT,5e-05,0.22023,2024-02-21 00:00:00.000,2024-02-21 00:00:00
OMUSDT,5.695e-05,0.21835935,2024-02-21 04:00:00.000,2024-02-21 04:00:00
OMUSDT,5.788e-05,0.21129605,2024-02-21 08:00:00.000,2024-02-21 08:00:00
OMUSDT,5e-05,0.22143716,2024-02-21 12:00:00.000,2024-02-21 12:00:00
OMUSDT,5e-05,0.20869235,2024-02-21 16:00:00.000,2024-02-21 16:00:00
OMUSDT,0.0001821,0.2185599,2024-02-21 20:00:00.000,2024-02-21 20:00:00
OMUSDT,0.00013054,0.21816207,2024-02-22 00:00:00.001,2024-02-22 00:00:00
OMUSDT,7.849e-05,0.21256889,2024-02-22 04:00:00.000,2024-02-22 04:00:00
OMUSDT,0.00015593,0.21551,2024-02-22 08:00:00.001,2024-02-22 08:00:00
OMUSDT,7.876e-05,0.21327,2024-02-22 12:00:00.000,2024-02-22 12:00:00
OMUSDT,0.00022198,0.21879,2024-02-22 16:00:00.000,2024-02-22 16:00:00
OMUSDT,0.00034927,0.21871709,2024-02-22 20:00:00.000,2024-02-22 20:00:00
OMUSDT,0.00034071,0.21549131,2024-02-23 00:00:00.000,2024-02-23 00:00:00
OMUSDT,0.00010598,0.21441,2024-02-23 04:00:00.001,2024-02-23 04:00:00
OMUSDT,5e-05,0.23358484,2024-02-23 08:00:00.000,2024-02-23 08:00:00
OMUSDT,5e-05,0.24000149,2024-02-23 12:00:00.001,2024-02-23 12:00:00
OMUSDT,0.00018999,0.21676888,2024-02-23 16:00:00.000,2024-02-23 16:00:00
OMUSDT,0.00021084,0.21925934,2024-02-23 20:00:00.000,2024-02-23 20:00:00
OMUSDT,0.00010073,0.21514186,2024-02-24 00:00:00.000,2024-02-24 00:00:00
OMUSDT,0.00017633,0.21133123,2024-02-24 04:00:00.000,2024-02-24 04:00:00
OMUSDT,0.00016636,0.21389515,2024-02-24 08:00:00.001,2024-02-24 08:00:00
OMUSDT,0.0003321,0.21326994,2024-02-24 12:00:00.000,2024-02-24 12:00:00
OMUSDT,0.00012634,0.21952564,2024-02-24 16:00:00.000,2024-02-24 16:00:00
OMUSDT,8.597e-05,0.21972967,2024-02-24 20:00:00.000,2024-02-24 20:00:00
OMUSDT,0.00022187,0.22037077,2024-02-25 00:00:00.001,2024-02-25 00:00:00
OMUSDT,7.343e-05,0.21963,2024-02-25 04:00:00.000,2024-02-25 04:00:00
OMUSDT,0.00027829,0.21357,2024-02-25 08:00:00.000,2024-02-25 08:00:00
OMUSDT,0.0002047,0.2131,2024-02-25 12:00:00.001,2024-02-25 12:00:00
OMUSDT,0.00037804,0.21284,2024-02-25 16:00:00.000,2024-02-25 16:00:00
OMUSDT,0.00026127,0.21481828,2024-02-25 20:00:00.000,2024-02-25 20:00:00
OMUSDT,0.00019867,0.2139787,2024-02-26 00:00:00.000,2024-02-26 00:00:00
OMUSDT,0.00049183,0.21497,2024-02-26 04:00:00.000,2024-02-26 04:00:00
OMUSDT,0.00040402,0.21458685,2024-02-26 08:00:00.000,2024-02-26 08:00:00
OMUSDT,0.00022201,0.21601349,2024-02-26 12:00:00.000,2024-02-26 12:00:00
OMUSDT,0.00019277,0.22134158,2024-02-26 16:00:00.000,2024-02-26 16:00:00
OMUSDT,0.00022637,0.22101,2024-02-26 20:00:00.001,2024-02-26 20:00:00
OMUSDT,0.00015136,0.22271538,2024-02-27 00:00:00.000,2024-02-27 00:00:00
OMUSDT,0.00058585,0.22244796,2024-02-27 04:00:00.000,2024-02-27 04:00:00
OMUSDT,0.00039835,0.2194878,2024-02-27 08:00:00.000,2024-02-27 08:00:00
OMUSDT,0.00042491,0.22124,2024-02-27 12:00:00.000,2024-02-27 12:00:00
OMUSDT,0.00015024,0.21339903,2024-02-27 16:00:00.000,2024-02-27 16:00:00
OMUSDT,0.00021828,0.21759406,2024-02-27 20:00:00.000,2024-02-27 20:00:00
OMUSDT,0.00014664,0.22551,2024-02-28 00:00:00.000,2024-02-28 00:00:00
OMUSDT,0.00020598,0.25854,2024-02-28 04:00:00.000,2024-02-28 04:00:00
OMUSDT,8.649e-05,0.25517798,2024-02-28 08:00:00.000,2024-02-28 08:00:00
OMUSDT,0.00033696,0.24204777,2024-02-28 12:00:00.000,2024-02-28 12:00:00
OMUSDT,0.00034942,0.24521,2024-02-28 16:00:00.000,2024-02-28 16:00:00
OMUSDT,5e-05,0.23376,2024-02-28 20:00:00.000,2024-02-28 20:00:00
OMUSDT,5e-05,0.24734,2024-02-29 00:00:00.000,2024-02-29 00:00:00
OMUSDT,0.00048984,0.24029725,2024-02-29 04:00:00.001,2024-02-29 04:00:00
OMUSDT,0.00031347,0.24383,2024-02-29 08:00:00.000,2024-02-29 08:00:00
OMUSDT,0.00021816,0.24221,2024-02-29 12:00:00.000,2024-02-29 12:00:00
OMUSDT,5e-05,0.25151,2024-02-29 16:00:00.000,2024-02-29 16:00:00
OMUSDT,0.0003347,0.25195505,2024-02-29 20:00:00.000,2024-02-29 20:00:00
OMUSDT,0.00014507,0.25869792,2024-03-01 00:00:00.000,2024-03-01 00:00:00
OMUSDT,5.921e-05,0.26801222,2024-03-01 04:00:00.000,2024-03-01 04:00:00
OMUSDT,5e-05,0.2860701,2024-03-01 08:00:00.000,2024-03-01 08:00:00
OMUSDT,0.00032091,0.26765,2024-03-01 12:00:00.000,2024-03-01 12:00:00
OMUSDT,0.00021562,0.27293046,2024-03-01 16:00:00.000,2024-03-01 16:00:00
OMUSDT,0.00045277,0.27075108,2024-03-01 20:00:00.000,2024-03-01 20:00:00
OMUSDT,0.0005066,0.27087,2024-03-02 00:00:00.000,2024-03-02 00:00:00
OMUSDT,0.00071559,0.26703,2024-03-02 04:00:00.001,2024-03-02 04:00:00
OMUSDT,0.00064192,0.26460373,2024-03-02 08:00:00.001,2024-03-02 08:00:00
OMUSDT,0.00054049,0.26830327,2024-03-02 12:00:00.000,2024-03-02 12:00:00
OMUSDT,0.00023238,0.26592,2024-03-02 16:00:00.000,2024-03-02 16:00:00
OMUSDT,0.00045565,0.26995827,2024-03-02 20:00:00.000,2024-03-02 20:00:00
OMUSDT,0.00032128,0.27218373,2024-03-03 00:00:00.000,2024-03-03 00:00:00
OMUSDT,0.00038644,0.27194,2024-03-03 04:00:00.000,2024-03-03 04:00:00
OMUSDT,0.00025718,0.26715,2024-03-03 08:00:00.000,2024-03-03 08:00:00
OMUSDT,0.0002545,0.27963886,2024-03-03 12:00:00.000,2024-03-03 12:00:00
OMUSDT,0.00016372,0.27271633,2024-03-03 16:00:00.000,2024-03-03 16:00:00
OMUSDT,0.000381,0.26914,2024-03-03 20:00:00.000,2024-03-03 20:00:00
OMUSDT,0.00032691,0.27903,2024-03-04 00:00:00.000,2024-03-04 00:00:00
OMUSDT,0.00049987,0.27667,2024-03-04 04:00:00.001,2024-03-04 04:00:00
OMUSDT,0.00046159,0.28091,2024-03-04 08:00:00.000,2024-03-04 08:00:00
OMUSDT,0.00044014,0.32245145,2024-03-04 12:00:00.000,2024-03-04 12:00:00
OMUSDT,0.00055171,0.3642,2024-03-04 16:00:00.000,2024-03-04 16:00:00
OMUSDT,0.00050602,0.33291968,2024-03-04 20:00:00.000,2024-03-04 20:00:00
OMUSDT,0.00064844,0.32637,2024-03-05 00:00:00.000,2024-03-05 00:00:00
OMUSDT,0.00077835,0.32277,2024-03-05 04:00:00.000,2024-03-05 04:00:00
OMUSDT,0.00116984,0.31892769,2024-03-05 08:00:00.000,2024-03-05 08:00:00
OMUSDT,0.00100866,0.31953638,2024-03-05 12:00:00.000,2024-03-05 12:00:00
OMUSDT,0.00033339,0.31687798,2024-03-05 16:00:00.000,2024-03-05 16:00:00
OMUSDT,0.00012027,0.27152999,2024-03-05 20:00:00.000,2024-03-05 20:00:00
OMUSDT,5e-05,0.30786299,2024-03-06 00:00:00.000,2024-03-06 00:00:00
OMUSDT,5e-05,0.29794555,2024-03-06 04:00:00.000,2024-03-06 04:00:00
OMUSDT,5e-05,0.31314269,2024-03-06 08:00:00.001,2024-03-06 08:00:00
OMUSDT,5e-05,0.31116536,2024-03-06 12:00:00.000,2024-03-06 12:00:00
OMUSDT,5e-05,0.30377,2024-03-06 16:00:00.000,2024-03-06 16:00:00
OMUSDT,5e-05,0.30773548,2024-03-06 20:00:00.000,2024-03-06 20:00:00
OMUSDT,5e-05,0.31120863,2024-03-07 00:00:00.000,2024-03-07 00:00:00
OMUSDT,8.075e-05,0.30628779,2024-03-07 04:00:00.000,2024-03-07 04:00:00
OMUSDT,8.11e-05,0.30185,2024-03-07 08:00:00.000,2024-03-07 08:00:00
