symbol,fundingRate,markPrice,fundingDateTime,formattedFundingDateTime
ORCAUSDT,5e-05,7.36178328,2024-12-06 16:00:00.000,2024-12-06 16:00:00
ORCAUSDT,7.942e-05,7.031,2024-12-06 20:00:00.001,2024-12-06 20:00:00
ORCAUSDT,0.00013472,6.99407538,2024-12-07 00:00:00.000,2024-12-07 00:00:00
ORCAUSDT,0.00017592,6.42506746,2024-12-07 04:00:00.000,2024-12-07 04:00:00
ORCAUSDT,0.00050955,6.59763438,2024-12-07 08:00:00.000,2024-12-07 08:00:00
ORCAUSDT,0.00018386,6.34124838,2024-12-07 12:00:00.000,2024-12-07 12:00:00
ORCAUSDT,0.00030648,6.28766759,2024-12-07 16:00:00.000,2024-12-07 16:00:00
ORCAUSDT,8.208e-05,6.26669864,2024-12-07 20:00:00.000,2024-12-07 20:00:00
ORCAUSDT,0.00039808,6.276,2024-12-08 00:00:00.000,2024-12-08 00:00:00
ORCAUSDT,0.00023831,6.20221992,2024-12-08 04:00:00.000,2024-12-08 04:00:00
ORCAUSDT,0.00033542,6.183,2024-12-08 08:00:00.000,2024-12-08 08:00:00
ORCAUSDT,0.00027556,6.404,2024-12-08 12:00:00.001,2024-12-08 12:00:00
ORCAUSDT,0.00031748,6.22888629,2024-12-08 16:00:00.000,2024-12-08 16:00:00
ORCAUSDT,0.00019578,6.21702019,2024-12-08 20:00:00.000,2024-12-08 20:00:00
ORCAUSDT,0.00024625,6.20766489,2024-12-09 00:00:00.000,2024-12-09 00:00:00
ORCAUSDT,0.00020284,6.06379564,2024-12-09 04:00:00.000,2024-12-09 04:00:00
ORCAUSDT,0.00011145,6.053,2024-12-09 08:00:00.000,2024-12-09 08:00:00
ORCAUSDT,6.897e-05,5.63041133,2024-12-09 12:00:00.000,2024-12-09 12:00:00
ORCAUSDT,7.857e-05,5.585,2024-12-09 16:00:00.001,2024-12-09 16:00:00
ORCAUSDT,5e-05,5.39838882,2024-12-09 20:00:00.012,2024-12-09 20:00:00
ORCAUSDT,5e-05,4.75594384,2024-12-10 00:00:00.007,2024-12-10 00:00:00
ORCAUSDT,5e-05,4.642,2024-12-10 04:00:00.002,2024-12-10 04:00:00
ORCAUSDT,5e-05,4.79604417,2024-12-10 08:00:00.000,2024-12-10 08:00:00
ORCAUSDT,5e-05,5.07380563,2024-12-10 12:00:00.000,2024-12-10 12:00:00
ORCAUSDT,5e-05,4.51057113,2024-12-10 16:00:00.000,2024-12-10 16:00:00
ORCAUSDT,5e-05,4.55482453,2024-12-10 20:00:00.001,2024-12-10 20:00:00
ORCAUSDT,5e-05,4.608,2024-12-11 00:00:00.000,2024-12-11 00:00:00
ORCAUSDT,5e-05,5.31960764,2024-12-11 04:00:00.000,2024-12-11 04:00:00
ORCAUSDT,5e-05,5.651,2024-12-11 08:00:00.000,2024-12-11 08:00:00
ORCAUSDT,9.47e-06,6.11856159,2024-12-11 12:00:00.000,2024-12-11 12:00:00
ORCAUSDT,5e-05,5.556,2024-12-11 16:00:00.001,2024-12-11 16:00:00
ORCAUSDT,5e-05,5.59944075,2024-12-11 20:00:00.000,2024-12-11 20:00:00
ORCAUSDT,5e-05,5.64164965,2024-12-12 00:00:00.001,2024-12-12 00:00:00
ORCAUSDT,5e-05,5.609,2024-12-12 04:00:00.000,2024-12-12 04:00:00
ORCAUSDT,5e-05,5.56142273,2024-12-12 08:00:00.000,2024-12-12 08:00:00
ORCAUSDT,5e-05,5.62179148,2024-12-12 12:00:00.000,2024-12-12 12:00:00
ORCAUSDT,5e-05,5.3943336,2024-12-12 16:00:00.001,2024-12-12 16:00:00
ORCAUSDT,5e-05,5.23147941,2024-12-12 20:00:00.000,2024-12-12 20:00:00
ORCAUSDT,5e-05,5.20801233,2024-12-13 00:00:00.000,2024-12-13 00:00:00
ORCAUSDT,5e-05,5.20940013,2024-12-13 04:00:00.000,2024-12-13 04:00:00
ORCAUSDT,5e-05,5.05712307,2024-12-13 08:00:00.000,2024-12-13 08:00:00
ORCAUSDT,5e-05,5.104,2024-12-13 12:00:00.000,2024-12-13 12:00:00
ORCAUSDT,5e-05,5.02537405,2024-12-13 16:00:00.001,2024-12-13 16:00:00
ORCAUSDT,5e-05,5.042,2024-12-13 20:00:00.001,2024-12-13 20:00:00
ORCAUSDT,5e-05,5.12,2024-12-14 00:00:00.000,2024-12-14 00:00:00
ORCAUSDT,5e-05,5.19,2024-12-14 04:00:00.000,2024-12-14 04:00:00
ORCAUSDT,5e-05,5.19906129,2024-12-14 08:00:00.000,2024-12-14 08:00:00
ORCAUSDT,5e-05,5.19304614,2024-12-14 12:00:00.000,2024-12-14 12:00:00
ORCAUSDT,5e-05,5.05384729,2024-12-14 16:00:00.000,2024-12-14 16:00:00
ORCAUSDT,5e-05,4.96071564,2024-12-14 20:00:00.000,2024-12-14 20:00:00
ORCAUSDT,5e-05,4.974,2024-12-15 00:00:00.000,2024-12-15 00:00:00
ORCAUSDT,5e-05,4.92494144,2024-12-15 04:00:00.000,2024-12-15 04:00:00
ORCAUSDT,5e-05,4.79771099,2024-12-15 08:00:00.000,2024-12-15 08:00:00
ORCAUSDT,5e-05,4.85498181,2024-12-15 12:00:00.000,2024-12-15 12:00:00
ORCAUSDT,5e-05,4.986,2024-12-15 16:00:00.000,2024-12-15 16:00:00
ORCAUSDT,5e-05,4.97852308,2024-12-15 20:00:00.001,2024-12-15 20:00:00
ORCAUSDT,5e-05,4.99175287,2024-12-16 00:00:00.000,2024-12-16 00:00:00
ORCAUSDT,5e-05,4.8329769,2024-12-16 04:00:00.000,2024-12-16 04:00:00
ORCAUSDT,5e-05,4.80599973,2024-12-16 08:00:00.001,2024-12-16 08:00:00
ORCAUSDT,5e-05,4.615,2024-12-16 12:00:00.000,2024-12-16 12:00:00
ORCAUSDT,5e-05,4.75685608,2024-12-16 16:00:00.000,2024-12-16 16:00:00
ORCAUSDT,5e-05,4.844,2024-12-16 20:00:00.000,2024-12-16 20:00:00
ORCAUSDT,5e-05,4.739,2024-12-17 00:00:00.000,2024-12-17 00:00:00
ORCAUSDT,5e-05,4.69507222,2024-12-17 04:00:00.000,2024-12-17 04:00:00
ORCAUSDT,5e-05,4.60688244,2024-12-17 08:00:00.000,2024-12-17 08:00:00
ORCAUSDT,5e-05,4.687,2024-12-17 12:00:00.000,2024-12-17 12:00:00
ORCAUSDT,5e-05,4.527,2024-12-17 16:00:00.000,2024-12-17 16:00:00
ORCAUSDT,5e-05,4.569,2024-12-17 20:00:00.000,2024-12-17 20:00:00
ORCAUSDT,5e-05,4.4087125,2024-12-18 00:00:00.000,2024-12-18 00:00:00
ORCAUSDT,5e-05,4.349,2024-12-18 04:00:00.000,2024-12-18 04:00:00
ORCAUSDT,5e-05,4.34432198,2024-12-18 08:00:00.000,2024-12-18 08:00:00
ORCAUSDT,5e-05,4.357,2024-12-18 12:00:00.000,2024-12-18 12:00:00
ORCAUSDT,5e-05,4.287,2024-12-18 16:00:00.000,2024-12-18 16:00:00
ORCAUSDT,5e-05,4.22465502,2024-12-18 20:00:00.000,2024-12-18 20:00:00
ORCAUSDT,5e-05,3.9676318,2024-12-19 00:00:00.000,2024-12-19 00:00:00
ORCAUSDT,5e-05,4.03030514,2024-12-19 04:00:00.000,2024-12-19 04:00:00
