symbol,fundingRate,markPrice,fundingDateTime,formattedFundingDateTime
RESOLVUSDT,5e-05,0.10000002,2025-06-10 12:00:00.005,2025-06-10 12:00:00
RESOLVUSDT,-0.0045896,0.31835282,2025-06-10 16:00:00.003,2025-06-10 16:00:00
RESOLVUSDT,5e-05,0.33781496,2025-06-10 20:00:00.010,2025-06-10 20:00:00
RESOLVUSDT,5e-05,0.35088069,2025-06-11 00:00:00.000,2025-06-11 00:00:00
RESOLVUSDT,-0.0007563,0.31406524,2025-06-11 04:00:00.006,2025-06-11 04:00:00
RESOLVUSDT,5e-05,0.32359926,2025-06-11 08:00:00.000,2025-06-11 08:00:00
RESOLVUSDT,-0.0023092,0.36817753,2025-06-11 12:00:00.007,2025-06-11 12:00:00
RESOLVUSDT,-0.00469684,0.39083,2025-06-11 16:00:00.010,2025-06-11 16:00:00
RESOLVUSDT,-0.00074374,0.36357843,2025-06-11 20:00:00.012,2025-06-11 20:00:00
RESOLVUSDT,-0.00274358,0.34231,2025-06-12 00:00:00.002,2025-06-12 00:00:00
RESOLVUSDT,5e-05,0.34747552,2025-06-12 04:00:00.000,2025-06-12 04:00:00
RESOLVUSDT,-0.00024734,0.34422,2025-06-12 08:00:00.003,2025-06-12 08:00:00
RESOLVUSDT,-0.00013744,0.31578,2025-06-12 12:00:00.001,2025-06-12 12:00:00
RESOLVUSDT,2.747e-05,0.29683,2025-06-12 16:00:00.001,2025-06-12 16:00:00
RESOLVUSDT,5e-05,0.27203647,2025-06-12 20:00:00.003,2025-06-12 20:00:00
RESOLVUSDT,-0.00036977,0.26823,2025-06-13 00:00:00.000,2025-06-13 00:00:00
RESOLVUSDT,-0.00027394,0.24854503,2025-06-13 04:00:00.002,2025-06-13 04:00:00
RESOLVUSDT,-0.0006465,0.25143447,2025-06-13 08:00:00.001,2025-06-13 08:00:00
RESOLVUSDT,-0.00142874,0.24908,2025-06-13 12:00:00.000,2025-06-13 12:00:00
RESOLVUSDT,-0.00081676,0.25408,2025-06-13 16:00:00.004,2025-06-13 16:00:00
RESOLVUSDT,-0.00057826,0.26315937,2025-06-13 20:00:00.001,2025-06-13 20:00:00
RESOLVUSDT,-0.00249971,0.2873354,2025-06-14 00:00:00.000,2025-06-14 00:00:00
RESOLVUSDT,-0.00038875,0.26528137,2025-06-14 04:00:00.000,2025-06-14 04:00:00
RESOLVUSDT,-0.00037611,0.2644,2025-06-14 08:00:00.000,2025-06-14 08:00:00
RESOLVUSDT,-0.00068399,0.25745,2025-06-14 12:00:00.007,2025-06-14 12:00:00
RESOLVUSDT,-0.00032131,0.25954,2025-06-14 16:00:00.000,2025-06-14 16:00:00
RESOLVUSDT,-0.00024694,0.24690769,2025-06-14 20:00:00.005,2025-06-14 20:00:00
RESOLVUSDT,-0.00105479,0.25656,2025-06-15 00:00:00.005,2025-06-15 00:00:00
RESOLVUSDT,-0.00103916,0.25955596,2025-06-15 04:00:00.004,2025-06-15 04:00:00
RESOLVUSDT,1.952e-05,0.25239007,2025-06-15 08:00:00.009,2025-06-15 08:00:00
RESOLVUSDT,-0.00031039,0.25000811,2025-06-15 12:00:00.000,2025-06-15 12:00:00
RESOLVUSDT,-0.00035604,0.25099671,2025-06-15 16:00:00.000,2025-06-15 16:00:00
RESOLVUSDT,3.103e-05,0.24484388,2025-06-15 20:00:00.000,2025-06-15 20:00:00
RESOLVUSDT,-3.637e-05,0.24196,2025-06-16 00:00:00.000,2025-06-16 00:00:00
RESOLVUSDT,1.985e-05,0.2506,2025-06-16 04:00:00.009,2025-06-16 04:00:00
RESOLVUSDT,5e-05,0.2583254,2025-06-16 08:00:00.000,2025-06-16 08:00:00
RESOLVUSDT,5e-05,0.26126216,2025-06-16 12:00:00.000,2025-06-16 12:00:00
RESOLVUSDT,5e-05,0.26293,2025-06-16 16:00:00.003,2025-06-16 16:00:00
RESOLVUSDT,-6.342e-05,0.27147,2025-06-16 20:00:00.000,2025-06-16 20:00:00
RESOLVUSDT,5e-05,0.25319435,2025-06-17 00:00:00.000,2025-06-17 00:00:00
RESOLVUSDT,5e-05,0.25454,2025-06-17 04:00:00.000,2025-06-17 04:00:00
RESOLVUSDT,5e-05,0.25083,2025-06-17 08:00:00.006,2025-06-17 08:00:00
RESOLVUSDT,5e-05,0.24577,2025-06-17 12:00:00.001,2025-06-17 12:00:00
