symbol,fundingRate,markPrice,fundingDateTime,formattedFundingDateTime
SKLUSDT,0.00145218,,2020-12-08 08:00:00.003,2020-12-08 08:00:00
SKLUSDT,0.0001,,2020-12-08 16:00:00.033,2020-12-08 16:00:00
SKLUSDT,0.0001,,2020-12-09 00:00:00.000,2020-12-09 00:00:00
SKLUSDT,0.0001,,2020-12-09 08:00:00.010,2020-12-09 08:00:00
SKLUSDT,0.00013809,,2020-12-09 16:00:00.000,2020-12-09 16:00:00
SKLUSDT,0.00012695,,2020-12-10 00:00:00.000,2020-12-10 00:00:00
SKLUSDT,0.0001,,2020-12-10 08:00:00.000,2020-12-10 08:00:00
SKLUSDT,0.0001,,2020-12-10 16:00:00.007,2020-12-10 16:00:00
SKLUSDT,0.0001,,2020-12-11 00:00:00.000,2020-12-11 00:00:00
SKLUSDT,0.0001,,2020-12-11 08:00:00.016,2020-12-11 08:00:00
SKLUSDT,0.0001,,2020-12-11 16:00:00.010,2020-12-11 16:00:00
SKLUSDT,0.0001,,2020-12-12 00:00:00.009,2020-12-12 00:00:00
SKLUSDT,0.0001,,2020-12-12 08:00:00.002,2020-12-12 08:00:00
SKLUSDT,0.0001,,2020-12-12 16:00:00.000,2020-12-12 16:00:00
SKLUSDT,0.0001,,2020-12-13 00:00:00.007,2020-12-13 00:00:00
SKLUSDT,0.0001,,2020-12-13 08:00:00.000,2020-12-13 08:00:00
SKLUSDT,0.0001,,2020-12-13 16:00:00.000,2020-12-13 16:00:00
SKLUSDT,0.0001,,2020-12-14 00:00:00.000,2020-12-14 00:00:00
SKLUSDT,0.0001,,2020-12-14 08:00:00.000,2020-12-14 08:00:00
SKLUSDT,0.0001,,2020-12-14 16:00:00.000,2020-12-14 16:00:00
SKLUSDT,0.0001,,2020-12-15 00:00:00.006,2020-12-15 00:00:00
SKLUSDT,0.0001,,2020-12-15 08:00:00.001,2020-12-15 08:00:00
SKLUSDT,0.0001,,2020-12-15 16:00:00.000,2020-12-15 16:00:00
SKLUSDT,0.0001,,2020-12-16 00:00:00.001,2020-12-16 00:00:00
SKLUSDT,0.0001,,2020-12-16 08:00:00.000,2020-12-16 08:00:00
SKLUSDT,0.0001,,2020-12-16 16:00:00.000,2020-12-16 16:00:00
SKLUSDT,0.0001,,2020-12-17 00:00:00.000,2020-12-17 00:00:00
SKLUSDT,0.0003703,,2020-12-17 08:00:00.000,2020-12-17 08:00:00
SKLUSDT,0.00208437,,2020-12-17 16:00:00.011,2020-12-17 16:00:00
SKLUSDT,0.00022575,,2020-12-18 00:00:00.000,2020-12-18 00:00:00
SKLUSDT,0.00032555,,2020-12-18 08:00:00.000,2020-12-18 08:00:00
SKLUSDT,0.0001,,2020-12-18 16:00:00.000,2020-12-18 16:00:00
SKLUSDT,0.00010751,,2020-12-19 00:00:00.000,2020-12-19 00:00:00
SKLUSDT,0.0001,,2020-12-19 08:00:00.018,2020-12-19 08:00:00
SKLUSDT,0.0001,,2020-12-19 16:00:00.000,2020-12-19 16:00:00
SKLUSDT,0.0008321,,2020-12-20 00:00:00.001,2020-12-20 00:00:00
SKLUSDT,0.0001,,2020-12-20 08:00:00.011,2020-12-20 08:00:00
SKLUSDT,0.00064469,,2020-12-20 16:00:00.023,2020-12-20 16:00:00
SKLUSDT,0.0001,,2020-12-21 00:00:00.011,2020-12-21 00:00:00
SKLUSDT,0.00015409,,2020-12-21 08:00:00.000,2020-12-21 08:00:00
SKLUSDT,0.00049822,,2020-12-21 16:00:00.000,2020-12-21 16:00:00
SKLUSDT,0.0001,,2020-12-22 00:00:00.001,2020-12-22 00:00:00
SKLUSDT,0.0001,,2020-12-22 08:00:00.006,2020-12-22 08:00:00
SKLUSDT,0.0001,,2020-12-22 16:00:00.000,2020-12-22 16:00:00
SKLUSDT,0.0001,,2020-12-23 00:00:00.000,2020-12-23 00:00:00
SKLUSDT,0.0001,,2020-12-23 08:00:00.000,2020-12-23 08:00:00
SKLUSDT,0.0001,,2020-12-23 16:00:00.000,2020-12-23 16:00:00
SKLUSDT,0.0001,,2020-12-24 00:00:00.012,2020-12-24 00:00:00
SKLUSDT,0.0001,,2020-12-24 08:00:00.009,2020-12-24 08:00:00
SKLUSDT,0.0001,,2020-12-24 16:00:00.001,2020-12-24 16:00:00
SKLUSDT,0.0001,,2020-12-25 00:00:00.000,2020-12-25 00:00:00
SKLUSDT,0.0001,,2020-12-25 08:00:00.000,2020-12-25 08:00:00
SKLUSDT,0.0001,,2020-12-25 16:00:00.000,2020-12-25 16:00:00
SKLUSDT,0.0001,,2020-12-26 00:00:00.009,2020-12-26 00:00:00
SKLUSDT,0.0001,,2020-12-26 08:00:00.001,2020-12-26 08:00:00
SKLUSDT,0.0001,,2020-12-26 16:00:00.006,2020-12-26 16:00:00
SKLUSDT,0.0001,,2020-12-27 00:00:00.000,2020-12-27 00:00:00
SKLUSDT,0.0001,,2020-12-27 08:00:00.000,2020-12-27 08:00:00
SKLUSDT,0.0001,,2020-12-27 16:00:00.001,2020-12-27 16:00:00
SKLUSDT,0.0001,,2020-12-28 00:00:00.015,2020-12-28 00:00:00
SKLUSDT,0.0001,,2020-12-28 08:00:00.019,2020-12-28 08:00:00
SKLUSDT,0.0001,,2020-12-28 16:00:00.000,2020-12-28 16:00:00
SKLUSDT,0.0001,,2020-12-29 00:00:00.004,2020-12-29 00:00:00
SKLUSDT,0.0001,,2020-12-29 08:00:00.003,2020-12-29 08:00:00
SKLUSDT,0.0001,,2020-12-29 16:00:00.000,2020-12-29 16:00:00
SKLUSDT,0.0001,,2020-12-30 00:00:00.001,2020-12-30 00:00:00
SKLUSDT,0.0001,,2020-12-30 08:00:00.001,2020-12-30 08:00:00
SKLUSDT,0.0001,,2020-12-30 16:00:00.012,2020-12-30 16:00:00
SKLUSDT,0.0001,,2020-12-31 00:00:00.009,2020-12-31 00:00:00
SKLUSDT,0.0001,,2020-12-31 08:00:00.000,2020-12-31 08:00:00
SKLUSDT,0.0001,,2020-12-31 16:00:00.010,2020-12-31 16:00:00
SKLUSDT,0.0001,,2021-01-01 00:00:00.002,2021-01-01 00:00:00
SKLUSDT,0.0001,,2021-01-01 08:00:00.006,2021-01-01 08:00:00
SKLUSDT,0.0001,,2021-01-01 16:00:00.003,2021-01-01 16:00:00
