symbol,fundingRate,markPrice,fundingDateTime,formattedFundingDateTime
SUPERUSDT,-0.00097946,0.3715267,2023-11-26 16:00:00.000,2023-11-26 16:00:00
SUPERUSDT,-0.00013956,0.38061037,2023-11-26 20:00:00.000,2023-11-26 20:00:00
SUPERUSDT,-0.00144966,0.41807487,2023-11-27 00:00:00.000,2023-11-27 00:00:00
SUPERUSDT,-0.00034536,0.3971039,2023-11-27 04:00:00.001,2023-11-27 04:00:00
SUPERUSDT,5e-05,0.3618,2023-11-27 08:00:00.001,2023-11-27 08:00:00
SUPERUSDT,5e-05,0.34688866,2023-11-27 12:00:00.000,2023-11-27 12:00:00
SUPERUSDT,5e-05,0.32478412,2023-11-27 16:00:00.000,2023-11-27 16:00:00
SUPERUSDT,5e-05,0.31968597,2023-11-27 20:00:00.000,2023-11-27 20:00:00
SUPERUSDT,-0.00065611,0.3412377,2023-11-28 00:00:00.000,2023-11-28 00:00:00
SUPERUSDT,-0.00289472,0.3706,2023-11-28 04:00:00.000,2023-11-28 04:00:00
SUPERUSDT,-0.00668636,0.40397698,2023-11-28 08:00:00.000,2023-11-28 08:00:00
SUPERUSDT,-0.00628438,0.40916001,2023-11-28 12:00:00.000,2023-11-28 12:00:00
SUPERUSDT,-0.00417584,0.40321306,2023-11-28 16:00:00.000,2023-11-28 16:00:00
SUPERUSDT,-0.00060522,0.3937589,2023-11-28 20:00:00.000,2023-11-28 20:00:00
SUPERUSDT,-0.00311792,0.4122,2023-11-29 00:00:00.001,2023-11-29 00:00:00
SUPERUSDT,-0.0012876,0.4028,2023-11-29 04:00:00.000,2023-11-29 04:00:00
SUPERUSDT,-0.0012273,0.4015,2023-11-29 08:00:00.000,2023-11-29 08:00:00
SUPERUSDT,-3.774e-05,0.42139682,2023-11-29 12:00:00.000,2023-11-29 12:00:00
SUPERUSDT,-0.00112969,0.3841,2023-11-29 16:00:00.000,2023-11-29 16:00:00
SUPERUSDT,3.48e-06,0.38006646,2023-11-29 20:00:00.000,2023-11-29 20:00:00
SUPERUSDT,5e-05,0.36182373,2023-11-30 00:00:00.000,2023-11-30 00:00:00
SUPERUSDT,5e-05,0.36832329,2023-11-30 04:00:00.001,2023-11-30 04:00:00
SUPERUSDT,-8.382e-05,0.3578,2023-11-30 08:00:00.000,2023-11-30 08:00:00
SUPERUSDT,2.937e-05,0.35883382,2023-11-30 12:00:00.000,2023-11-30 12:00:00
SUPERUSDT,5e-05,0.3474,2023-11-30 16:00:00.000,2023-11-30 16:00:00
SUPERUSDT,5e-05,0.36238393,2023-11-30 20:00:00.000,2023-11-30 20:00:00
SUPERUSDT,-6.927e-05,0.3569,2023-12-01 00:00:00.000,2023-12-01 00:00:00
SUPERUSDT,-0.000724,0.3689,2023-12-01 04:00:00.000,2023-12-01 04:00:00
SUPERUSDT,-0.00074292,0.3761728,2023-12-01 08:00:00.000,2023-12-01 08:00:00
SUPERUSDT,-7.22e-06,0.3645,2023-12-01 12:00:00.000,2023-12-01 12:00:00
SUPERUSDT,5e-05,0.35943535,2023-12-01 16:00:00.000,2023-12-01 16:00:00
SUPERUSDT,-0.00028524,0.3683,2023-12-01 20:00:00.000,2023-12-01 20:00:00
SUPERUSDT,-0.00119501,0.37432142,2023-12-02 00:00:00.000,2023-12-02 00:00:00
SUPERUSDT,5e-05,0.37563585,2023-12-02 04:00:00.000,2023-12-02 04:00:00
SUPERUSDT,5e-05,0.3671308,2023-12-02 08:00:00.000,2023-12-02 08:00:00
SUPERUSDT,5e-05,0.3715,2023-12-02 12:00:00.000,2023-12-02 12:00:00
SUPERUSDT,-0.00036019,0.41204597,2023-12-02 16:00:00.000,2023-12-02 16:00:00
SUPERUSDT,-0.00111139,0.47431188,2023-12-02 20:00:00.000,2023-12-02 20:00:00
SUPERUSDT,5e-05,0.45449478,2023-12-03 00:00:00.000,2023-12-03 00:00:00
SUPERUSDT,-0.00022929,0.4437,2023-12-03 04:00:00.000,2023-12-03 04:00:00
SUPERUSDT,-0.00020651,0.45195953,2023-12-03 08:00:00.000,2023-12-03 08:00:00
SUPERUSDT,-0.00133511,0.4478,2023-12-03 12:00:00.000,2023-12-03 12:00:00
SUPERUSDT,-0.00079871,0.43680484,2023-12-03 16:00:00.000,2023-12-03 16:00:00
SUPERUSDT,-0.00128499,0.47322943,2023-12-03 20:00:00.000,2023-12-03 20:00:00
SUPERUSDT,-0.00017762,0.5391,2023-12-04 00:00:00.000,2023-12-04 00:00:00
SUPERUSDT,5e-05,0.53475156,2023-12-04 04:00:00.000,2023-12-04 04:00:00
SUPERUSDT,-0.00028446,0.57090578,2023-12-04 08:00:00.000,2023-12-04 08:00:00
SUPERUSDT,-0.00566899,0.68759352,2023-12-04 12:00:00.000,2023-12-04 12:00:00
SUPERUSDT,-0.00103589,0.6536655,2023-12-04 16:00:00.000,2023-12-04 16:00:00
SUPERUSDT,-5.72e-05,0.67086152,2023-12-04 20:00:00.000,2023-12-04 20:00:00
SUPERUSDT,5e-05,0.71425634,2023-12-05 00:00:00.000,2023-12-05 00:00:00
SUPERUSDT,5e-05,0.685,2023-12-05 04:00:00.000,2023-12-05 04:00:00
SUPERUSDT,5e-05,0.64956808,2023-12-05 08:00:00.000,2023-12-05 08:00:00
SUPERUSDT,5e-05,0.67992621,2023-12-05 12:00:00.000,2023-12-05 12:00:00
SUPERUSDT,7.895e-05,0.68552454,2023-12-05 16:00:00.000,2023-12-05 16:00:00
SUPERUSDT,0.00024861,0.68191783,2023-12-05 20:00:00.000,2023-12-05 20:00:00
SUPERUSDT,0.00021198,0.66776078,2023-12-06 00:00:00.000,2023-12-06 00:00:00
SUPERUSDT,0.00030461,0.67287023,2023-12-06 04:00:00.000,2023-12-06 04:00:00
SUPERUSDT,0.00046176,0.59286691,2023-12-06 08:00:00.000,2023-12-06 08:00:00
SUPERUSDT,0.00033338,0.6106,2023-12-06 12:00:00.000,2023-12-06 12:00:00
SUPERUSDT,0.00048945,0.5908,2023-12-06 16:00:00.000,2023-12-06 16:00:00
SUPERUSDT,0.00015162,0.6265,2023-12-06 20:00:00.000,2023-12-06 20:00:00
SUPERUSDT,0.00026342,0.59796529,2023-12-07 00:00:00.000,2023-12-07 00:00:00
SUPERUSDT,0.00026715,0.61702219,2023-12-07 04:00:00.001,2023-12-07 04:00:00
SUPERUSDT,5e-05,0.62426122,2023-12-07 08:00:00.000,2023-12-07 08:00:00
SUPERUSDT,5e-05,0.59335845,2023-12-07 12:00:00.000,2023-12-07 12:00:00
SUPERUSDT,5e-05,0.6107,2023-12-07 16:00:00.000,2023-12-07 16:00:00
SUPERUSDT,7.076e-05,0.5923,2023-12-07 20:00:00.000,2023-12-07 20:00:00
SUPERUSDT,0.00031323,0.5685,2023-12-08 00:00:00.000,2023-12-08 00:00:00
SUPERUSDT,0.00014345,0.57230787,2023-12-08 04:00:00.000,2023-12-08 04:00:00
SUPERUSDT,0.00012026,0.5661,2023-12-08 08:00:00.000,2023-12-08 08:00:00
SUPERUSDT,5e-05,0.58025269,2023-12-08 12:00:00.000,2023-12-08 12:00:00
SUPERUSDT,5e-05,0.60836524,2023-12-08 16:00:00.000,2023-12-08 16:00:00
SUPERUSDT,5e-05,0.61793405,2023-12-08 20:00:00.000,2023-12-08 20:00:00
SUPERUSDT,5e-05,0.61979063,2023-12-09 00:00:00.000,2023-12-09 00:00:00
SUPERUSDT,5e-05,0.62180841,2023-12-09 04:00:00.000,2023-12-09 04:00:00
SUPERUSDT,0.00014515,0.63988402,2023-12-09 08:00:00.000,2023-12-09 08:00:00
SUPERUSDT,5.875e-05,0.6229,2023-12-09 12:00:00.000,2023-12-09 12:00:00
SUPERUSDT,5e-05,0.6290398,2023-12-09 16:00:00.000,2023-12-09 16:00:00
SUPERUSDT,5e-05,0.637,2023-12-09 20:00:00.000,2023-12-09 20:00:00
SUPERUSDT,5e-05,0.60399349,2023-12-10 00:00:00.000,2023-12-10 00:00:00
SUPERUSDT,5e-05,0.6364,2023-12-10 04:00:00.000,2023-12-10 04:00:00
SUPERUSDT,0.00010755,0.6212,2023-12-10 08:00:00.000,2023-12-10 08:00:00
SUPERUSDT,5e-05,0.6247,2023-12-10 12:00:00.000,2023-12-10 12:00:00
SUPERUSDT,5e-05,0.6242,2023-12-10 16:00:00.000,2023-12-10 16:00:00
SUPERUSDT,6.481e-05,0.6259,2023-12-10 20:00:00.000,2023-12-10 20:00:00
SUPERUSDT,5e-05,0.6127,2023-12-11 00:00:00.000,2023-12-11 00:00:00
SUPERUSDT,5e-05,0.58349831,2023-12-11 04:00:00.001,2023-12-11 04:00:00
SUPERUSDT,5e-05,0.56847765,2023-12-11 08:00:00.000,2023-12-11 08:00:00
SUPERUSDT,5e-05,0.58038607,2023-12-11 12:00:00.000,2023-12-11 12:00:00
SUPERUSDT,5e-05,0.57732405,2023-12-11 16:00:00.000,2023-12-11 16:00:00
SUPERUSDT,5e-05,0.55613322,2023-12-11 20:00:00.000,2023-12-11 20:00:00
SUPERUSDT,0.00012811,0.5641,2023-12-12 00:00:00.000,2023-12-12 00:00:00
SUPERUSDT,5e-05,0.56943896,2023-12-12 04:00:00.000,2023-12-12 04:00:00
SUPERUSDT,0.00010031,0.5616,2023-12-12 08:00:00.000,2023-12-12 08:00:00
SUPERUSDT,9.994e-05,0.54589252,2023-12-12 12:00:00.000,2023-12-12 12:00:00
SUPERUSDT,0.00016499,0.5366,2023-12-12 16:00:00.000,2023-12-12 16:00:00
SUPERUSDT,0.00040537,0.5637,2023-12-12 20:00:00.000,2023-12-12 20:00:00
