symbol,fundingRate,markPrice,fundingDateTime,formattedFundingDateTime
TAOUSDT,5e-05,647.61077486,2024-04-11 16:00:00.000,2024-04-11 16:00:00
TAOUSDT,5e-05,637.06408231,2024-04-11 20:00:00.000,2024-04-11 20:00:00
TAOUSDT,5e-05,623.85860246,2024-04-12 00:00:00.000,2024-04-12 00:00:00
TAOUSDT,4.385e-05,613.39,2024-04-12 04:00:00.000,2024-04-12 04:00:00
TAOUSDT,-0.00088242,637.85974248,2024-04-12 08:00:00.001,2024-04-12 08:00:00
TAOUSDT,5e-05,614.53329502,2024-04-12 12:00:00.000,2024-04-12 12:00:00
TAOUSDT,-0.00019772,573.37093478,2024-04-12 16:00:00.000,2024-04-12 16:00:00
TAOUSDT,-0.00025171,538.0,2024-04-12 20:00:00.000,2024-04-12 20:00:00
TAOUSDT,5e-05,538.33238997,2024-04-13 00:00:00.000,2024-04-13 00:00:00
TAOUSDT,5e-05,549.60854751,2024-04-13 04:00:00.000,2024-04-13 04:00:00
TAOUSDT,5e-05,542.43779821,2024-04-13 08:00:00.000,2024-04-13 08:00:00
TAOUSDT,5e-05,533.9014866,2024-04-13 12:00:00.000,2024-04-13 12:00:00
TAOUSDT,5e-05,510.36468711,2024-04-13 16:00:00.001,2024-04-13 16:00:00
TAOUSDT,5e-05,469.78734303,2024-04-13 20:00:00.001,2024-04-13 20:00:00
TAOUSDT,5e-05,509.66802618,2024-04-14 00:00:00.000,2024-04-14 00:00:00
TAOUSDT,5e-05,486.02,2024-04-14 04:00:00.000,2024-04-14 04:00:00
TAOUSDT,5e-05,524.19723911,2024-04-14 08:00:00.000,2024-04-14 08:00:00
TAOUSDT,5e-05,519.71,2024-04-14 12:00:00.000,2024-04-14 12:00:00
TAOUSDT,5e-05,584.63609357,2024-04-14 16:00:00.000,2024-04-14 16:00:00
TAOUSDT,5e-05,588.9,2024-04-14 20:00:00.000,2024-04-14 20:00:00
TAOUSDT,9.47e-05,587.11925425,2024-04-15 00:00:00.000,2024-04-15 00:00:00
TAOUSDT,5e-05,559.82,2024-04-15 04:00:00.000,2024-04-15 04:00:00
TAOUSDT,5e-05,566.99,2024-04-15 08:00:00.001,2024-04-15 08:00:00
TAOUSDT,5e-05,570.17,2024-04-15 12:00:00.000,2024-04-15 12:00:00
TAOUSDT,5e-05,558.71525812,2024-04-15 16:00:00.000,2024-04-15 16:00:00
TAOUSDT,5e-05,539.22,2024-04-15 20:00:00.000,2024-04-15 20:00:00
TAOUSDT,5e-05,525.36,2024-04-16 00:00:00.001,2024-04-16 00:00:00
TAOUSDT,5e-05,522.37282057,2024-04-16 04:00:00.000,2024-04-16 04:00:00
TAOUSDT,5e-05,519.27723053,2024-04-16 08:00:00.000,2024-04-16 08:00:00
TAOUSDT,5e-05,480.97851583,2024-04-16 12:00:00.000,2024-04-16 12:00:00
TAOUSDT,5e-05,457.07,2024-04-16 16:00:00.000,2024-04-16 16:00:00
TAOUSDT,5e-05,478.58333178,2024-04-16 20:00:00.000,2024-04-16 20:00:00
TAOUSDT,5e-05,500.53996025,2024-04-17 00:00:00.000,2024-04-17 00:00:00
TAOUSDT,5e-05,502.43,2024-04-17 04:00:00.001,2024-04-17 04:00:00
TAOUSDT,5e-05,492.98016546,2024-04-17 08:00:00.000,2024-04-17 08:00:00
TAOUSDT,5e-05,462.69552881,2024-04-17 12:00:00.000,2024-04-17 12:00:00
TAOUSDT,5e-05,444.94123478,2024-04-17 16:00:00.000,2024-04-17 16:00:00
TAOUSDT,5e-05,458.41783572,2024-04-17 20:00:00.000,2024-04-17 20:00:00
TAOUSDT,5e-05,454.87812781,2024-04-18 00:00:00.000,2024-04-18 00:00:00
TAOUSDT,5e-05,458.69940135,2024-04-18 04:00:00.000,2024-04-18 04:00:00
TAOUSDT,5e-05,443.41764695,2024-04-18 08:00:00.000,2024-04-18 08:00:00
TAOUSDT,5e-05,456.89,2024-04-18 12:00:00.002,2024-04-18 12:00:00
TAOUSDT,5e-05,467.95520536,2024-04-18 16:00:00.000,2024-04-18 16:00:00
TAOUSDT,5e-05,470.63939158,2024-04-18 20:00:00.000,2024-04-18 20:00:00
TAOUSDT,5e-05,466.01098917,2024-04-19 00:00:00.001,2024-04-19 00:00:00
TAOUSDT,5e-05,447.65330257,2024-04-19 04:00:00.000,2024-04-19 04:00:00
TAOUSDT,5e-05,463.85,2024-04-19 08:00:00.000,2024-04-19 08:00:00
TAOUSDT,5e-05,471.82,2024-04-19 12:00:00.001,2024-04-19 12:00:00
TAOUSDT,5e-05,469.44416627,2024-04-19 16:00:00.000,2024-04-19 16:00:00
TAOUSDT,5e-05,459.23402261,2024-04-19 20:00:00.000,2024-04-19 20:00:00
TAOUSDT,5e-05,441.62,2024-04-20 00:00:00.000,2024-04-20 00:00:00
TAOUSDT,5e-05,442.92,2024-04-20 04:00:00.001,2024-04-20 04:00:00
TAOUSDT,5e-05,451.72224341,2024-04-20 08:00:00.000,2024-04-20 08:00:00
TAOUSDT,5e-05,440.3,2024-04-20 12:00:00.001,2024-04-20 12:00:00
TAOUSDT,5e-05,458.25156805,2024-04-20 16:00:00.000,2024-04-20 16:00:00
TAOUSDT,5e-05,482.52,2024-04-20 20:00:00.001,2024-04-20 20:00:00
