symbol,fundingRate,markPrice,fundingDateTime,formattedFundingDateTime
TNSRUSDT,0.00038914,1.76037091,2024-04-08 20:00:00.001,2024-04-08 20:00:00
TNSRUSDT,0.00052199,1.65542046,2024-04-09 00:00:00.000,2024-04-09 00:00:00
TNSRUSDT,5e-05,1.66690565,2024-04-09 04:00:00.000,2024-04-09 04:00:00
TNSRUSDT,0.00040794,1.87471625,2024-04-09 08:00:00.001,2024-04-09 08:00:00
TNSRUSDT,5e-05,1.885,2024-04-09 12:00:00.000,2024-04-09 12:00:00
TNSRUSDT,5e-05,1.85346128,2024-04-09 16:00:00.001,2024-04-09 16:00:00
TNSRUSDT,0.00013586,1.803,2024-04-09 20:00:00.000,2024-04-09 20:00:00
TNSRUSDT,5e-05,1.82229197,2024-04-10 00:00:00.000,2024-04-10 00:00:00
TNSRUSDT,8.899e-05,1.739,2024-04-10 04:00:00.000,2024-04-10 04:00:00
TNSRUSDT,0.00016268,1.713,2024-04-10 08:00:00.001,2024-04-10 08:00:00
TNSRUSDT,9.636e-05,1.65670393,2024-04-10 12:00:00.002,2024-04-10 12:00:00
TNSRUSDT,0.00016586,1.58802471,2024-04-10 16:00:00.000,2024-04-10 16:00:00
TNSRUSDT,0.00013609,1.59818838,2024-04-10 20:00:00.000,2024-04-10 20:00:00
TNSRUSDT,0.00012702,1.636,2024-04-11 00:00:00.000,2024-04-11 00:00:00
TNSRUSDT,0.00030171,1.56,2024-04-11 04:00:00.001,2024-04-11 04:00:00
TNSRUSDT,0.00021599,1.495,2024-04-11 08:00:00.000,2024-04-11 08:00:00
TNSRUSDT,0.00028613,1.45467511,2024-04-11 12:00:00.000,2024-04-11 12:00:00
TNSRUSDT,0.00034017,1.40304213,2024-04-11 16:00:00.000,2024-04-11 16:00:00
TNSRUSDT,0.00021239,1.415,2024-04-11 20:00:00.000,2024-04-11 20:00:00
TNSRUSDT,0.00032903,1.40324305,2024-04-12 00:00:00.000,2024-04-12 00:00:00
TNSRUSDT,0.00024498,1.424,2024-04-12 04:00:00.000,2024-04-12 04:00:00
TNSRUSDT,0.00025893,1.33352208,2024-04-12 08:00:00.001,2024-04-12 08:00:00
TNSRUSDT,0.00022519,1.39149108,2024-04-12 12:00:00.000,2024-04-12 12:00:00
TNSRUSDT,0.00027338,1.325,2024-04-12 16:00:00.000,2024-04-12 16:00:00
TNSRUSDT,5e-05,1.085,2024-04-12 20:00:00.000,2024-04-12 20:00:00
TNSRUSDT,5e-05,1.07,2024-04-13 00:00:00.000,2024-04-13 00:00:00
TNSRUSDT,5e-05,1.06781001,2024-04-13 04:00:00.000,2024-04-13 04:00:00
TNSRUSDT,6.517e-05,1.04340317,2024-04-13 08:00:00.000,2024-04-13 08:00:00
TNSRUSDT,5e-05,1.023,2024-04-13 12:00:00.000,2024-04-13 12:00:00
TNSRUSDT,5e-05,1.0682329,2024-04-13 16:00:00.001,2024-04-13 16:00:00
TNSRUSDT,5e-05,0.89066056,2024-04-13 20:00:00.001,2024-04-13 20:00:00
TNSRUSDT,5e-05,0.9166808,2024-04-14 00:00:00.000,2024-04-14 00:00:00
TNSRUSDT,5e-05,0.904,2024-04-14 04:00:00.000,2024-04-14 04:00:00
TNSRUSDT,5e-05,0.932,2024-04-14 08:00:00.000,2024-04-14 08:00:00
TNSRUSDT,5e-05,0.87482864,2024-04-14 12:00:00.000,2024-04-14 12:00:00
TNSRUSDT,5e-05,0.9487536,2024-04-14 16:00:00.000,2024-04-14 16:00:00
TNSRUSDT,5e-05,0.9623084,2024-04-14 20:00:00.000,2024-04-14 20:00:00
TNSRUSDT,5e-05,1.027,2024-04-15 00:00:00.000,2024-04-15 00:00:00
TNSRUSDT,5e-05,0.9431348,2024-04-15 04:00:00.000,2024-04-15 04:00:00
TNSRUSDT,5e-05,0.97803229,2024-04-15 08:00:00.001,2024-04-15 08:00:00
TNSRUSDT,5e-05,0.93591401,2024-04-15 12:00:00.000,2024-04-15 12:00:00
TNSRUSDT,5e-05,0.90122985,2024-04-15 16:00:00.000,2024-04-15 16:00:00
TNSRUSDT,5e-05,0.88063817,2024-04-15 20:00:00.000,2024-04-15 20:00:00
TNSRUSDT,5e-05,0.89375408,2024-04-16 00:00:00.001,2024-04-16 00:00:00
TNSRUSDT,5e-05,0.87361767,2024-04-16 04:00:00.000,2024-04-16 04:00:00
