symbol,fundingRate,markPrice,fundingDateTime,formattedFundingDateTime
TURBOUSDT,0.00069091,0.00652797,2024-05-30 16:00:00.000,2024-05-30 16:00:00
TURBOUSDT,0.00041498,0.006458,2024-05-30 20:00:00.001,2024-05-30 20:00:00
TURBOUSDT,0.00017028,0.00606911,2024-05-31 00:00:00.000,2024-05-31 00:00:00
TURBOUSDT,0.00016997,0.00610047,2024-05-31 04:00:00.000,2024-05-31 04:00:00
TURBOUSDT,5e-05,0.0065308,2024-05-31 08:00:00.000,2024-05-31 08:00:00
TURBOUSDT,5e-05,0.007201,2024-05-31 12:00:00.001,2024-05-31 12:00:00
TURBOUSDT,6.767e-05,0.00822726,2024-05-31 16:00:00.000,2024-05-31 16:00:00
TURBOUSDT,0.00027925,0.00831193,2024-05-31 20:00:00.000,2024-05-31 20:00:00
TURBOUSDT,5e-05,0.00774795,2024-06-01 00:00:00.000,2024-06-01 00:00:00
TURBOUSDT,5e-05,0.00788545,2024-06-01 04:00:00.000,2024-06-01 04:00:00
TURBOUSDT,8.209e-05,0.00768,2024-06-01 08:00:00.000,2024-06-01 08:00:00
TURBOUSDT,5e-05,0.007781,2024-06-01 12:00:00.000,2024-06-01 12:00:00
TURBOUSDT,0.00040567,0.007164,2024-06-01 16:00:00.001,2024-06-01 16:00:00
TURBOUSDT,5e-05,0.007369,2024-06-01 20:00:00.000,2024-06-01 20:00:00
TURBOUSDT,0.00063656,0.00697,2024-06-02 00:00:00.000,2024-06-02 00:00:00
TURBOUSDT,5e-05,0.007561,2024-06-02 04:00:00.000,2024-06-02 04:00:00
TURBOUSDT,0.00042202,0.007047,2024-06-02 08:00:00.000,2024-06-02 08:00:00
TURBOUSDT,0.0002145,0.00726519,2024-06-02 12:00:00.000,2024-06-02 12:00:00
TURBOUSDT,0.00069095,0.00695969,2024-06-02 16:00:00.000,2024-06-02 16:00:00
TURBOUSDT,0.00051876,0.00659246,2024-06-02 20:00:00.001,2024-06-02 20:00:00
TURBOUSDT,0.0001055,0.00663461,2024-06-03 00:00:00.000,2024-06-03 00:00:00
TURBOUSDT,0.00031697,0.00655514,2024-06-03 04:00:00.000,2024-06-03 04:00:00
TURBOUSDT,0.00011077,0.006629,2024-06-03 08:00:00.000,2024-06-03 08:00:00
TURBOUSDT,0.00038702,0.0065519,2024-06-03 12:00:00.000,2024-06-03 12:00:00
TURBOUSDT,0.00066544,0.00627148,2024-06-03 16:00:00.000,2024-06-03 16:00:00
TURBOUSDT,5e-05,0.006548,2024-06-03 20:00:00.000,2024-06-03 20:00:00
TURBOUSDT,6.55e-05,0.006348,2024-06-04 00:00:00.000,2024-06-04 00:00:00
TURBOUSDT,0.00038178,0.00625918,2024-06-04 04:00:00.000,2024-06-04 04:00:00
TURBOUSDT,0.0005436,0.00609085,2024-06-04 08:00:00.000,2024-06-04 08:00:00
TURBOUSDT,5e-05,0.006614,2024-06-04 12:00:00.001,2024-06-04 12:00:00
TURBOUSDT,0.00015312,0.006585,2024-06-04 16:00:00.000,2024-06-04 16:00:00
TURBOUSDT,0.00016684,0.006656,2024-06-04 20:00:00.000,2024-06-04 20:00:00
TURBOUSDT,0.00014635,0.006439,2024-06-05 00:00:00.000,2024-06-05 00:00:00
TURBOUSDT,0.0004251,0.00630643,2024-06-05 04:00:00.000,2024-06-05 04:00:00
TURBOUSDT,0.00040134,0.006255,2024-06-05 08:00:00.000,2024-06-05 08:00:00
TURBOUSDT,0.00020281,0.006282,2024-06-05 12:00:00.001,2024-06-05 12:00:00
TURBOUSDT,0.00047865,0.006066,2024-06-05 16:00:00.000,2024-06-05 16:00:00
TURBOUSDT,0.00046804,0.006065,2024-06-05 20:00:00.000,2024-06-05 20:00:00
TURBOUSDT,0.0006227,0.006038,2024-06-06 00:00:00.000,2024-06-06 00:00:00
TURBOUSDT,0.00047343,0.006116,2024-06-06 04:00:00.000,2024-06-06 04:00:00
TURBOUSDT,0.00019782,0.006301,2024-06-06 08:00:00.008,2024-06-06 08:00:00
TURBOUSDT,0.00037073,0.00597747,2024-06-06 12:00:00.000,2024-06-06 12:00:00
TURBOUSDT,0.00051445,0.00638956,2024-06-06 16:00:00.000,2024-06-06 16:00:00
TURBOUSDT,5e-05,0.006113,2024-06-06 20:00:00.000,2024-06-06 20:00:00
TURBOUSDT,0.00021497,0.00617962,2024-06-07 00:00:00.000,2024-06-07 00:00:00
TURBOUSDT,0.00028843,0.00609428,2024-06-07 04:00:00.002,2024-06-07 04:00:00
TURBOUSDT,0.0004379,0.006052,2024-06-07 08:00:00.000,2024-06-07 08:00:00
TURBOUSDT,0.00028267,0.00601858,2024-06-07 12:00:00.000,2024-06-07 12:00:00
TURBOUSDT,0.00021834,0.00602088,2024-06-07 16:00:00.000,2024-06-07 16:00:00
TURBOUSDT,5e-05,0.004929,2024-06-07 20:00:00.000,2024-06-07 20:00:00
