funding_time,entry_time,hold_time_min,entry_price,exit_price,actual_fr,actual_extreme,price_pnl_pct,fees_pct,slippage_pct,gross_pnl_pct,net_pnl_pct,correct_prediction
2025-03-09 20:00:00,2025-03-09 19:35:00,25.0,0.5579,0.5567,-0.00036734,1,0.21509231044989766,0.08,0.04,0.21509231044989766,0.09509231044989766,True
2025-03-10 00:00:00,2025-03-09 23:30:00,30.0,0.5501,0.5508,-0.00051122,1,-0.12724959098344352,0.08,0.04,-0.12724959098344352,-0.24724959098344354,True
2025-03-10 04:00:00,2025-03-10 03:30:00,30.0,0.549,0.5539,-7.525e-05,0,-0.892531876138416,0.08,0.04,-0.892531876138416,-1.0125318761384159,False
2025-03-10 16:00:00,2025-03-10 15:30:00,30.0,0.5668,0.5601,5e-05,0,1.1820748059280044,0.08,0.04,1.1820748059280044,1.0620748059280043,False
2025-03-10 20:00:00,2025-03-10 19:30:00,30.0,0.5375,0.5391,-0.00042258,1,-0.2976744186046597,0.08,0.04,-0.2976744186046597,-0.4176744186046597,True
2025-03-11 00:00:00,2025-03-10 23:30:00,30.0,0.5342,0.5335,-0.00014995,0,0.1310370647697555,0.08,0.04,0.1310370647697555,0.011037064769755488,False
2025-03-11 04:00:00,2025-03-11 03:30:00,30.0,0.5264,0.5235,-0.00012871,0,0.5509118541033461,0.08,0.04,0.5509118541033461,0.4309118541033461,False
2025-03-11 08:00:00,2025-03-11 07:30:00,30.0,0.5319,0.533,-0.00075448,1,-0.20680579056213383,0.08,0.04,-0.20680579056213383,-0.3268057905621338,True
2025-03-11 12:00:00,2025-03-11 11:30:00,30.0,0.5389,0.5394,-0.00015052,0,-0.09278159213211076,0.08,0.04,-0.09278159213211076,-0.21278159213211076,False
2025-03-12 00:00:00,2025-03-11 23:30:00,30.0,0.5481,0.5498,-0.00041033,1,-0.31016237912788247,0.08,0.04,-0.31016237912788247,-0.43016237912788247,True
2025-03-12 08:00:00,2025-03-12 07:30:00,30.0,0.54,0.5446,5e-05,0,-0.8518518518518403,0.08,0.04,-0.8518518518518403,-0.9718518518518403,False
2025-03-15 08:00:00,2025-03-15 07:45:00,15.0,0.5634,0.5635,5e-05,0,-0.017749378771741035,0.08,0.04,-0.017749378771741035,-0.13774937877174104,False
2025-03-15 20:00:00,2025-03-15 19:50:00,10.0,0.5662,0.5679,5e-05,0,-0.30024726245141714,0.08,0.04,-0.30024726245141714,-0.42024726245141714,False
2025-03-16 00:00:00,2025-03-15 23:30:00,30.0,0.5673,0.5685,-7.096e-05,0,-0.2115282919090391,0.08,0.04,-0.2115282919090391,-0.3315282919090391,False
2025-03-16 20:00:00,2025-03-16 19:50:00,10.0,0.552,0.5517,-8.091e-05,0,0.05434782608697065,0.08,0.04,0.05434782608697065,-0.06565217391302935,False
2025-03-17 00:00:00,2025-03-16 23:30:00,30.0,0.5507,0.5523,-9.367e-05,0,-0.29053931360088,0.08,0.04,-0.29053931360088,-0.41053931360088,False
2025-03-17 04:00:00,2025-03-17 03:30:00,30.0,0.5609,0.5626,5e-05,0,-0.30308432875736047,0.08,0.04,-0.30308432875736047,-0.42308432875736046,False
2025-03-19 04:00:00,2025-03-19 03:35:00,25.0,0.5641,0.5659,4.894e-05,0,-0.3190923595107096,0.08,0.04,-0.3190923595107096,-0.4390923595107096,False
2025-03-21 04:00:00,2025-03-21 03:30:00,30.0,0.563,0.5637,-2.65e-05,0,-0.12433392539965081,0.08,0.04,-0.12433392539965081,-0.24433392539965082,False
2025-03-21 20:00:00,2025-03-21 19:30:00,30.0,0.5529,0.5538,5e-05,0,-0.16277807921866738,0.08,0.04,-0.16277807921866738,-0.2827780792186674,False
2025-03-23 04:00:00,2025-03-23 03:40:00,20.0,0.5698,0.5687,5e-05,0,0.19305019305019128,0.08,0.04,0.19305019305019128,0.07305019305019128,False
2025-03-29 16:00:00,2025-03-29 15:50:00,10.0,0.5218,0.5223,-4.558e-05,0,-0.09582215408201321,0.08,0.04,-0.09582215408201321,-0.21582215408201322,False
2025-03-29 20:00:00,2025-03-29 19:30:00,30.0,0.5151,0.5144,-2.224e-05,0,0.1358959425354366,0.08,0.04,0.1358959425354366,0.0158959425354366,False
2025-03-30 00:00:00,2025-03-29 23:30:00,30.0,0.5156,0.5187,-0.00010923,0,-0.6012412723041317,0.08,0.04,-0.6012412723041317,-0.7212412723041317,False
2025-03-30 04:00:00,2025-03-30 03:35:00,25.0,0.5252,0.5246,5e-05,0,0.11424219345012279,0.08,0.04,0.11424219345012279,-0.0057578065498772105,False
2025-03-30 08:00:00,2025-03-30 07:40:00,20.0,0.5281,0.5286,5e-05,0,-0.09467903806096288,0.08,0.04,-0.09467903806096288,-0.2146790380609629,False
2025-03-30 12:00:00,2025-03-30 11:40:00,20.0,0.523,0.5207,-0.00060426,1,0.4397705544933019,0.08,0.04,0.4397705544933019,0.3197705544933019,True
2025-03-31 08:00:00,2025-03-31 07:45:00,15.0,0.4989,0.5025,-0.00070177,1,-0.7215874924834509,0.08,0.04,-0.7215874924834509,-0.8415874924834509,True
2025-03-31 12:00:00,2025-03-31 11:35:00,25.0,0.5039,0.5043,5e-05,0,-0.07938082952965984,0.08,0.04,-0.07938082952965984,-0.19938082952965985,False
2025-04-01 16:00:00,2025-04-01 15:30:00,30.0,0.5206,0.5218,5e-05,0,-0.2305032654629447,0.08,0.04,-0.2305032654629447,-0.3505032654629447,False
2025-04-02 08:00:00,2025-04-02 07:30:00,30.0,0.495,0.4891,-0.00022953,1,1.1919191919191952,0.08,0.04,1.1919191919191952,1.071919191919195,True
2025-04-02 20:00:00,2025-04-02 19:30:00,30.0,0.5042,0.5021,5e-05,0,0.4165013883379593,0.08,0.04,0.4165013883379593,0.2965013883379593,False
2025-04-03 04:00:00,2025-04-03 03:30:00,30.0,0.4869,0.4844,5e-05,0,0.513452454302732,0.08,0.04,0.513452454302732,0.393452454302732,False
2025-04-04 12:00:00,2025-04-04 11:30:00,30.0,0.4637,0.4653,-3.982e-05,0,-0.34505067931852285,0.08,0.04,-0.34505067931852285,-0.46505067931852284,False
2025-04-04 16:00:00,2025-04-04 15:30:00,30.0,0.4792,0.4751,-1.608e-05,0,0.8555926544240385,0.08,0.04,0.8555926544240385,0.7355926544240385,False
2025-04-05 00:00:00,2025-04-04 23:30:00,30.0,0.4801,0.4806,-2.5e-05,0,-0.10414496979795884,0.08,0.04,-0.10414496979795884,-0.22414496979795887,False
2025-04-05 04:00:00,2025-04-05 03:50:00,10.0,0.4793,0.4799,-0.00055321,1,-0.12518255789693084,0.08,0.04,-0.12518255789693084,-0.24518255789693086,True
2025-04-05 16:00:00,2025-04-05 15:35:00,25.0,0.474,0.4734,5e-05,0,0.12658227848101042,0.08,0.04,0.12658227848101042,0.006582278481010416,False
2025-04-05 20:00:00,2025-04-05 19:40:00,20.0,0.4749,0.4741,5e-05,0,0.16845651716150084,0.08,0.04,0.16845651716150084,0.04845651716150084,False
2025-04-07 12:00:00,2025-04-07 11:30:00,30.0,0.4077,0.4083,5e-05,0,-0.1471670345842505,0.08,0.04,-0.1471670345842505,-0.2671670345842505,False
2025-04-07 20:00:00,2025-04-07 19:30:00,30.0,0.4292,0.4275,5e-05,0,0.3960857409133352,0.08,0.04,0.3960857409133352,0.2760857409133352,False
2025-04-09 00:00:00,2025-04-08 23:50:00,10.0,0.4077,0.4047,2.293e-05,0,0.7358351729212662,0.08,0.04,0.7358351729212662,0.6158351729212662,False
2025-04-09 04:00:00,2025-04-09 03:30:00,30.0,0.4115,0.4144,-0.00048451,1,-0.7047387606318382,0.08,0.04,-0.7047387606318382,-0.8247387606318382,True
2025-04-09 12:00:00,2025-04-09 11:30:00,30.0,0.4185,0.4204,-0.00041513,1,-0.45400238948626354,0.08,0.04,-0.45400238948626354,-0.5740023894862636,True
2025-04-09 16:00:00,2025-04-09 15:30:00,30.0,0.4363,0.4356,-0.00015471,0,0.16044006417603343,0.08,0.04,0.16044006417603343,0.04044006417603343,False
2025-04-09 20:00:00,2025-04-09 19:30:00,30.0,0.4606,0.4584,-0.00059402,1,0.4776378636561084,0.08,0.04,0.4776378636561084,0.3576378636561084,True
2025-04-10 00:00:00,2025-04-09 23:35:00,25.0,0.4584,0.4564,3.127e-05,0,0.43630017452007025,0.08,0.04,0.43630017452007025,0.31630017452007025,False
2025-04-10 08:00:00,2025-04-10 07:30:00,30.0,0.4617,0.4607,-0.00081815,1,0.21659085986571383,0.08,0.04,0.21659085986571383,0.09659085986571384,True
2025-04-10 16:00:00,2025-04-10 15:30:00,30.0,0.4534,0.4456,-0.00022665,1,1.720335244816945,0.08,0.04,1.720335244816945,1.600335244816945,True
2025-04-10 20:00:00,2025-04-10 19:30:00,30.0,0.451,0.4513,5e-05,0,-0.06651884700664455,0.08,0.04,-0.06651884700664455,-0.18651884700664456,False
2025-04-13 04:00:00,2025-04-13 03:40:00,20.0,0.4854,0.4856,-0.0004017,1,-0.04120313143798475,0.08,0.04,-0.04120313143798475,-0.16120313143798476,True
2025-04-13 08:00:00,2025-04-13 07:45:00,15.0,0.4832,0.4824,5e-05,0,0.1655629139072895,0.08,0.04,0.1655629139072895,0.0455629139072895,False
2025-04-13 12:00:00,2025-04-13 11:30:00,30.0,0.4813,0.4821,5e-05,0,-0.16621649698731922,0.08,0.04,-0.16621649698731922,-0.2862164969873192,False
2025-04-13 16:00:00,2025-04-13 15:30:00,30.0,0.4724,0.475,-8.425e-05,0,-0.5503810330228601,0.08,0.04,-0.5503810330228601,-0.6703810330228601,False
2025-04-14 04:00:00,2025-04-14 03:35:00,25.0,0.4718,0.471,-9.18e-05,0,0.16956337431115365,0.08,0.04,0.16956337431115365,0.049563374311153645,False
2025-04-16 16:00:00,2025-04-16 15:30:00,30.0,0.4847,0.4817,-0.00022195,1,0.6189395502372607,0.08,0.04,0.6189395502372607,0.4989395502372607,True
2025-04-16 20:00:00,2025-04-16 19:30:00,30.0,0.4725,0.4804,2.764e-05,0,-1.6719576719576759,0.08,0.04,-1.6719576719576759,-1.791957671957676,False
2025-04-17 08:00:00,2025-04-17 07:30:00,30.0,0.499,0.4969,-0.00031905,1,0.4208416833667316,0.08,0.04,0.4208416833667316,0.3008416833667316,True
2025-04-17 12:00:00,2025-04-17 11:45:00,15.0,0.4989,0.4997,-7.749e-05,0,-0.16035277610742982,0.08,0.04,-0.16035277610742982,-0.2803527761074298,False
2025-04-18 00:00:00,2025-04-17 23:30:00,30.0,0.4977,0.497,1.352e-05,0,0.14064697609000973,0.08,0.04,0.14064697609000973,0.020646976090009726,False
2025-04-18 16:00:00,2025-04-18 15:50:00,10.0,0.5147,0.5148,-0.00018029,0,-0.01942879347192325,0.08,0.04,-0.01942879347192325,-0.13942879347192325,False
2025-04-18 20:00:00,2025-04-18 19:30:00,30.0,0.5174,0.5181,5e-05,0,-0.13529184383456397,0.08,0.04,-0.13529184383456397,-0.25529184383456394,False
2025-04-19 00:00:00,2025-04-18 23:35:00,25.0,0.5113,0.5125,-0.00027853,1,-0.2346958732642243,0.08,0.04,-0.2346958732642243,-0.3546958732642243,True
2025-04-20 08:00:00,2025-04-20 07:30:00,30.0,0.5216,0.5219,-0.00028396,1,-0.05751533742332784,0.08,0.04,-0.05751533742332784,-0.17751533742332784,True
2025-04-22 16:00:00,2025-04-22 15:45:00,15.0,0.5204,0.52,5e-05,0,0.07686395080706303,0.08,0.04,0.07686395080706303,-0.043136049192936975,False
2025-04-25 12:00:00,2025-04-25 11:45:00,15.0,0.545,0.5446,5e-05,0,0.07339449541285632,0.08,0.04,0.07339449541285632,-0.04660550458714368,False
2025-05-04 20:00:00,2025-05-04 19:30:00,30.0,0.5014,0.5012,8.17e-06,0,0.039888312724367374,0.08,0.04,0.039888312724367374,-0.08011168727563263,False
2025-05-05 12:00:00,2025-05-05 11:30:00,30.0,0.4914,0.4909,3.447e-05,0,0.10175010175010182,0.08,0.04,0.10175010175010182,-0.01824989824989818,False
2025-05-06 20:00:00,2025-05-06 19:45:00,15.0,0.4637,0.4633,-7.71e-05,0,0.0862626698296337,0.08,0.04,0.0862626698296337,-0.03373733017036631,False
2025-05-07 20:00:00,2025-05-07 19:30:00,30.0,0.4658,0.4671,5e-05,0,-0.27908973808502,0.08,0.04,-0.27908973808502,-0.39908973808502,False
2025-05-08 12:00:00,2025-05-08 11:45:00,15.0,0.4957,0.4961,5e-05,0,-0.0806939681258849,0.08,0.04,-0.0806939681258849,-0.20069396812588491,False
2025-05-09 16:00:00,2025-05-09 15:30:00,30.0,0.5381,0.5383,5e-05,0,-0.03716781267422002,0.08,0.04,-0.03716781267422002,-0.15716781267422003,False
2025-05-15 04:00:00,2025-05-15 03:35:00,25.0,0.5618,0.5562,5e-05,0,0.9967960128159379,0.08,0.04,0.9967960128159379,0.8767960128159379,False
2025-05-16 08:00:00,2025-05-16 07:30:00,30.0,0.5446,0.5415,5e-05,0,0.5692251193536526,0.08,0.04,0.5692251193536526,0.4492251193536526,False
2025-05-19 12:00:00,2025-05-19 11:30:00,30.0,0.5078,0.5083,5e-05,0,-0.09846396218982767,0.08,0.04,-0.09846396218982767,-0.2184639621898277,False
2025-05-20 00:00:00,2025-05-19 23:35:00,25.0,0.5218,0.5218,5e-05,0,0.0,0.08,0.04,0.0,-0.12,False
2025-05-25 16:00:00,2025-05-25 15:50:00,10.0,0.4895,0.4884,-0.00012674,0,0.22471910112359345,0.08,0.04,0.22471910112359345,0.10471910112359342,False
2025-05-31 00:00:00,2025-05-30 23:30:00,30.0,0.4358,0.433,-0.00012291,0,0.642496558054159,0.08,0.04,0.642496558054159,0.522496558054159,False
