funding_time,entry_time,hold_time_min,entry_price,exit_price,actual_fr,actual_extreme,price_pnl_pct,fees_pct,slippage_pct,gross_pnl_pct,net_pnl_pct,correct_prediction
2025-10-30 20:00:00,2025-10-30 19:20:00,40.0,0.04923,0.04909,-0.00099655,1,0.28437944342880606,0.08,0.04,0.28437944342880606,0.16437944342880603,True
2025-10-31 00:00:00,2025-10-30 23:20:00,40.0,0.05031,0.05058,-0.00043363,1,-0.5366726296958844,0.08,0.04,-0.5366726296958844,-0.6566726296958844,True
2025-10-31 04:00:00,2025-10-31 03:20:00,40.0,0.05214,0.05224,-0.00022791,1,-0.19179133103184284,0.08,0.04,-0.19179133103184284,-0.3117913310318428,True
2025-11-01 04:00:00,2025-11-01 03:20:00,40.0,0.05114,0.05133,-9.357e-05,0,-0.37152913570591056,0.08,0.04,-0.37152913570591056,-0.49152913570591056,False
2025-11-01 08:00:00,2025-11-01 07:45:00,15.0,0.05122,0.05161,1.353e-05,0,-0.7614213197969572,0.08,0.04,-0.7614213197969572,-0.8814213197969571,False
2025-11-03 00:00:00,2025-11-02 23:20:00,40.0,0.05051,0.05066,-0.00016246,0,-0.29697089685210326,0.08,0.04,-0.29697089685210326,-0.41697089685210326,False
2025-11-03 16:00:00,2025-11-03 15:35:00,25.0,0.04406,0.04332,-0.00053322,1,1.6795279164775407,0.08,0.04,1.6795279164775407,1.5595279164775406,True
2025-11-04 04:00:00,2025-11-04 03:20:00,40.0,0.04545,0.04575,-0.00010899,0,-0.6600660066006637,0.08,0.04,-0.6600660066006637,-0.7800660066006637,False
2025-11-04 12:00:00,2025-11-04 11:20:00,40.0,0.04446,0.0441,4.508e-05,0,0.8097165991902817,0.08,0.04,0.8097165991902817,0.6897165991902817,False
2025-11-07 20:00:00,2025-11-07 19:20:00,40.0,0.0836,0.08342,-3.388e-05,0,0.21531100478468854,0.08,0.04,0.21531100478468854,0.09531100478468854,False
2025-11-10 08:00:00,2025-11-10 07:20:00,40.0,0.11835,0.11499,-0.00077411,1,2.8390367553865667,0.08,0.04,2.8390367553865667,2.7190367553865666,True
2025-11-10 20:00:00,2025-11-10 19:20:00,40.0,0.11239,0.11513,-0.00046065,1,-2.4379393184446947,0.08,0.04,-2.4379393184446947,-2.557939318444695,True
2025-11-11 08:00:00,2025-11-11 07:20:00,40.0,0.12395,0.1258,-0.00103932,1,-1.4925373134328281,0.08,0.04,-1.4925373134328281,-1.6125373134328282,True
2025-11-11 20:00:00,2025-11-11 19:20:00,40.0,0.14433,0.14425,-0.000401,1,0.05542853183677994,0.08,0.04,0.05542853183677994,-0.06457146816322007,True
2025-11-12 00:00:00,2025-11-11 23:20:00,40.0,0.14156,0.13316,-0.00062638,1,5.933879627013274,0.08,0.04,5.933879627013274,5.813879627013274,True
2025-11-12 04:00:00,2025-11-12 03:20:00,40.0,0.13333,0.13311,-0.00164098,1,0.16500412510312606,0.08,0.04,0.16500412510312606,0.04500412510312606,True
2025-11-12 12:00:00,2025-11-12 11:20:00,40.0,0.12601,0.12772,-0.00090144,1,-1.3570351559399962,0.08,0.04,-1.3570351559399962,-1.4770351559399963,True
2025-11-12 16:00:00,2025-11-12 15:20:00,40.0,0.125,0.12004,-0.00108871,1,3.968000000000005,0.08,0.04,3.968000000000005,3.8480000000000047,True
2025-11-13 04:00:00,2025-11-13 03:20:00,40.0,0.11875,0.12657,-0.00075007,1,-6.585263157894731,0.08,0.04,-6.585263157894731,-6.7052631578947315,True
2025-11-13 08:00:00,2025-11-13 07:20:00,40.0,0.12987,0.1301,-0.00079383,1,-0.17710017710016185,0.08,0.04,-0.17710017710016185,-0.29710017710016184,True
2025-11-22 12:00:00,2025-11-22 11:20:00,40.0,0.12461,0.12534,-0.00040469,1,-0.5858277826819744,0.08,0.04,-0.5858277826819744,-0.7058277826819744,True
2025-11-22 16:00:00,2025-11-22 15:20:00,40.0,0.12153,0.12322,-0.00013727,0,-1.3906031432568067,0.08,0.04,-1.3906031432568067,-1.5106031432568068,False
2025-11-23 04:00:00,2025-11-23 03:45:00,15.0,0.13779,0.1328,-0.00031799,1,3.621452935626674,0.08,0.04,3.621452935626674,3.501452935626674,True
2025-11-23 12:00:00,2025-11-23 11:30:00,30.0,0.12339,0.12416,3.084e-05,0,-0.6240376043439555,0.08,0.04,-0.6240376043439555,-0.7440376043439555,False
2025-11-24 08:00:00,2025-11-24 07:25:00,35.0,0.13095,0.13176,-0.00020996,1,-0.6185567010309105,0.08,0.04,-0.6185567010309105,-0.7385567010309105,True
2025-11-24 12:00:00,2025-11-24 11:50:00,10.0,0.13165,0.13041,-0.0028551,1,0.9418913786555193,0.08,0.04,0.9418913786555193,0.8218913786555193,True
