symbol,model,feature_selection,n_features,train_samples,test_samples,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,n_trades,total_pnl_pct,avg_pnl_pct,win_rate,prediction_accuracy,timestamp
ORCAUSDT,LightGBM,shap,15,11714,5021,0.884285999,0.773395722,0.827019299,0.799309154,0.950273111,121,-5.185619134,-0.042856356,0.52892562,0.760330579,15/12/2025 2:10
AWEUSDT,LightGBM,shap,15,4224,1811,0.794588625,0.657469077,0.982930299,0.787913341,0.9735462,93,0.90515261,0.009732824,0.52688172,0.612903226,15/12/2025 2:11
LSKUSDT,LightGBM,shap,15,26426,11326,0.893519336,0.639505119,0.805913978,0.713130352,0.934972647,228,6.605050816,0.028969521,0.49122807,0.574561404,15/12/2025 2:11
MLNUSDT,LightGBM,shap,15,6029,2584,0.928405573,0.427586207,0.867132867,0.572748268,0.966899958,28,-9.318080074,-0.332788574,0.535714286,0.357142857,15/12/2025 2:12
RESOLVUSDT,LightGBM,shap,15,4134,1773,0.842639594,0.902962206,0.827715356,0.86370298,0.947719606,80,38.02010798,0.47525135,0.5625,0.8875,15/12/2025 2:12
ORCAUSDT,KNN,,40,11714,5021,0.7847042421828321,0.922872340425532,0.2480343102215868,0.3909859154929577,0.6531913818697509,39,-5.169650380987105,-0.1325551379740283,0.5128205128205128,0.8717948717948718,2025-12-15 02:16:02
AWEUSDT,KNN,,40,4224,1811,0.9215902816123688,0.8705416116248349,0.937411095305832,0.9027397260273972,0.9458567202962036,69,3.905053246506653,0.0565949745870529,0.5652173913043478,0.8115942028985508,2025-12-15 02:16:03
LSKUSDT,KNN,,40,26426,11326,0.8955500618046972,0.8196411709159585,0.4666666666666667,0.5947242206235012,0.7512763847522201,120,12.870426451054776,0.1072535537587898,0.4916666666666666,0.6916666666666667,2025-12-15 02:16:10
MLNUSDT,KNN,,40,6029,2584,0.9361455108359134,0.4191176470588235,0.3986013986013986,0.4086021505376344,0.8023522974362794,17,-3.8746287890086144,-0.2279193405299185,0.7058823529411765,0.3529411764705882,2025-12-15 02:16:14
ORCAUSDT,RandomForest,,40,11714,5021,0.8707428799044015,0.745740498034076,0.8134381701215153,0.7781196581196581,0.954619316708432,125,-1.697129079368742,-0.0135770326349499,0.528,0.744,2025-12-15 02:17:05
AWEUSDT,RandomForest,,40,4224,1811,0.8812810601877415,0.773542600896861,0.9815078236130867,0.8652037617554859,0.9733080505928692,80,2.198380395097681,0.027479754938721,0.525,0.7125,2025-12-15 02:17:08
LSKUSDT,RandomForest,,40,26426,11326,0.9262758255341692,0.8360655737704918,0.6854838709677419,0.7533234859675036,0.9436145548641544,144,14.50705468287875,0.1007434352977691,0.5277777777777778,0.7916666666666666,2025-12-15 02:17:24
MLNUSDT,RandomForest,,40,6029,2584,0.9059597523219814,0.3571428571428571,0.8741258741258742,0.5070993914807302,0.9624594987151316,33,-2.506086789998628,-0.0759420239393523,0.6666666666666666,0.303030303030303,2025-12-15 02:17:31
AWEUSDT,XGBoost,,31,4224,1811,0.8967421314191054,0.7986111111111112,0.9815078236130867,0.8806636885768986,0.967157257960982,74,3.5528555571585594,0.0480115615832237,0.5405405405405406,0.7702702702702703,2025-12-15 02:19:19
LSKUSDT,XGBoost,,10,26426,11326,0.857672611689917,0.542995839112344,0.8419354838709677,0.6602023608768971,0.9346397065672504,288,-2.027178132050591,-0.0070388129585089,0.4548611111111111,0.4652777777777778,2025-12-15 02:19:39
