iter	Huber:delta=0.01
0	5.103727786e-09
1	5.017935758e-09
2	4.920348215e-09
3	4.842960176e-09
4	4.751871033e-09
5	4.664717187e-09
6	4.580320024e-09
7	4.500082678e-09
8	4.41691286e-09
9	4.336494905e-09
10	4.261116677e-09
11	4.181592465e-09
12	4.110631353e-09
13	4.03809676e-09
14	3.973678272e-09
15	3.905371636e-09
16	3.841775295e-09
17	3.783730593e-09
18	3.733911146e-09
19	3.678041277e-09
20	3.625370126e-09
21	3.580780117e-09
22	3.52927635e-09
23	3.477451422e-09
24	3.422298949e-09
25	3.373329819e-09
26	3.320668065e-09
27	3.272277217e-09
28	3.222763545e-09
29	3.176630676e-09
30	3.134056425e-09
31	3.088361212e-09
32	3.045198322e-09
33	3.001142176e-09
34	2.967094875e-09
35	2.92793405e-09
36	2.888063889e-09
37	2.851464854e-09
38	2.818912005e-09
39	2.783798157e-09
40	2.748100227e-09
41	2.714192733e-09
42	2.685143237e-09
43	2.654470306e-09
44	2.624944971e-09
45	2.596584748e-09
46	2.569169924e-09
47	2.542767262e-09
48	2.5179639e-09
49	2.488912228e-09
50	2.462807641e-09
51	2.437958023e-09
52	2.413552714e-09
53	2.390070657e-09
54	2.36500245e-09
55	2.338772876e-09
56	2.316737617e-09
57	2.292581272e-09
58	2.270133724e-09
59	2.248881148e-09
60	2.231010779e-09
61	2.211640979e-09
62	2.191737898e-09
63	2.172703436e-09
64	2.153594617e-09
65	2.135879677e-09
66	2.120743485e-09
67	2.103810718e-09
68	2.084866833e-09
69	2.06862095e-09
70	2.052149442e-09
71	2.035123983e-09
72	2.019293175e-09
73	2.00368414e-09
74	1.990449974e-09
75	1.976241322e-09
76	1.958985677e-09
77	1.943229611e-09
78	1.927690453e-09
79	1.914555013e-09
80	1.902365281e-09
81	1.890620192e-09
82	1.87600827e-09
83	1.863241892e-09
84	1.852395578e-09
85	1.841063805e-09
86	1.827903542e-09
87	1.813786678e-09
88	1.801005405e-09
89	1.791829001e-09
90	1.778915335e-09
