iter	Passed	Remaining
0	3	1536
1	5	1436
2	9	1624
3	12	1563
4	17	1686
5	19	1581
6	23	1641
7	25	1577
8	30	1649
9	32	1594
10	36	1628
11	40	1650
12	42	1609
13	46	1630
14	49	1593
15	53	1618
16	57	1637
17	60	1614
18	64	1629
19	66	1601
20	71	1639
21	74	1616
22	78	1629
23	82	1626
24	85	1630
25	88	1609
26	92	1616
27	94	1593
28	98	1598
29	100	1578
30	105	1589
31	107	1571
32	111	1578
33	113	1560
34	117	1562
35	120	1550
36	124	1555
37	126	1543
38	130	1547
39	133	1533
40	137	1537
41	139	1523
42	143	1522
43	145	1509
44	149	1511
45	152	1501
46	156	1508
47	158	1496
48	162	1497
49	165	1486
50	169	1490
51	172	1483
52	176	1486
53	178	1474
54	181	1472
55	184	1459
56	188	1464
57	190	1453
58	194	1450
59	196	1438
60	199	1437
61	202	1427
62	205	1425
63	207	1414
64	211	1413
65	213	1402
66	217	1402
67	219	1393
68	223	1395
69	225	1384
70	228	1382
71	231	1373
72	234	1372
73	236	1363
74	240	1361
75	242	1351
76	245	1350
77	248	1343
78	251	1342
79	254	1333
80	257	1332
81	259	1324
82	263	1322
83	266	1317
84	269	1317
85	272	1309
86	275	1308
87	277	1300
88	281	1299
89	283	1292
90	287	1291
91	289	1284
92	293	1282
93	296	1280
94	298	1274
95	302	1274
96	305	1267
97	309	1268
98	311	1261
99	315	1260
100	317	1253
101	321	1253
102	324	1250
103	328	1250
104	330	1243
105	334	1242
106	337	1240
107	339	1233
108	343	1232
109	346	1227
110	349	1226
111	352	1220
112	355	1218
113	358	1212
114	361	1211
115	364	1207
116	368	1207
117	371	1201
118	374	1200
119	377	1194
120	381	1194
121	383	1188
122	387	1187
123	390	1185
124	393	1179
125	397	1179
126	400	1177
127	403	1172
128	407	1172
129	409	1166
130	413	1165
131	416	1160
132	419	1158
133	423	1155
134	425	1150
135	429	1149
136	431	1144
137	435	1143
138	438	1138
139	441	1136
140	444	1130
141	447	1128
142	450	1123
